qids;qstr;correct_result;filtered_result;overlap;topic
G-XEC-2012-1;MCQS;D;D;1;Atomic Structure
G-XEC-2012-2;MCQS;C;B;0;Atomic Structure
G-META-12-14;MCQS;A;A;1;Thermodynamics
G-META-12-18;MCQS;B;D;0;Thermodynamics
G-XEC-2012-5;MCQS;A;A;1;Magnetic Properties
G-META-12-19;MCQS;D;D;1;Thermodynamics
G-META-12-33;MCQS-NUM;B;B;1;Thermodynamics
G-XEC-2012-8;MCQS;D;C;0;Material Characterization
G-XEC-2012-9;MCQS;A;A;1;Material Applications
G-XEC-2012-10;MATCH;B;B;1;Miscellaneous
G-XEC-2012-11;MATCH;A;C;0;Material Characterization
G-XEC-2012-12;MATCH;D;B;0;Material Applications
G-XEC-2012-13;MATCH;C;C;1;Mechanical Properties
G-XEC-2012-14;MCQS-NUM;D;;0;Material Applications
G-XEC-2012-15;MCQS-NUM;B;;0;Electrical Properties
G-XEC-2012-17;MCQS-NUM;A;A;1;Phase Transition
G-XEC-2012-19;MCQS-NUM;D;B;0;Mechanical Properties
G-XEC-2012-21;MCQS-NUM;B;B;1;Atomic Structure
G-XEC-2012-22;MCQS-NUM;C;B;0;Atomic Structure
G-XEC-2013-1;MCQS;A;A;1;Transport Phenomena
G-XEC-2013-2;MCQS;D;D;1;Atomic Structure
G-XEC-2013-3;MCQS;C;D;0;Phase Transition
G-XEC-2013-4;MCQS;B;B;1;Material Applications
G-XEC-2013-5;MCQS;D;B;0;Atomic Structure
G-XEC-2013-6;MCQS;B;A;0;Material Processing
G-XEC-2013-7;MCQS;B;B;1;Material Applications
G-XEC-2013-8;MCQS;A;A;1;Material Processing
G-XEC-2013-9;MCQS;A;B;0;Atomic Structure
G-XEC-2013-10;MATCH;D;C;0;Material Applications
G-XEC-2013-11;MATCH;C;C;1;Miscellaneous
G-XEC-2013-12;MATCH;C;B;0;Material Characterization
G-META-12-35;MCQS-NUM;D;D;1;Thermodynamics
G-XEC-2014-1;MCQS;C;A;0;Material Applications
G-XEC-2014-2;MCQS;A;A;1;Material Applications
G-META-13-12;MCQS;C;B;0;Thermodynamics
G-XEC-2014-4;MCQS;D;D;1;Material Characterization
G-XEC-2014-5;MCQS;C;C;1;Magnetic Properties
G-META-13-2;MCQS;D;B;0;Thermodynamics
G-XEC-2014-7;MCQS;B;B;1;Mechanical Properties
G-XEC-2014-8;MCQS;A;A;1;Atomic Structure
G-XEC-2014-9;MCQS;B;B;1;Material Applications
G-META-13-22;NUM;0.339 TO 0.341;0,34;1;Material Applications
G-META-13-23;NUM;3;3;1;Thermodynamics
G-XEC-2014-13;MATCH;B;A;0;Phase Transition
G-META-13-24;NUM;0,25;0,046;0;Mechanical Properties
G-XEC-2014-15;MATCH;C;B;0;Material Applications
G-XEC-2014-16;MCQS;A;A;1;Phase Transition
G-META-13-3;MCQS;A;A;1;Thermodynamics
G-META-13-25;NUM;400;0,024;0;Material Applications
G-XEC-2014-19;MATCH;D;A;0;Material Applications
G-META-13-43;NUM;73 TO 75;22;0;Atomic Structure
G-META-13-4;MCQS;B;C;0;Thermodynamics
G-META-13-50;MCQS-NUM;D;D;1;Thermodynamics
G-XEC-2015-46-3;MCQS;B;B;1;Material Applications
G-META-13-51;MCQS-NUM;A;B;0;Thermodynamics
