qids;qstr;correct_result;filtered_result;overlap;topic
G-META-12-10;MCQS;A;A;1;Atomic Structure
G-META-12-11;MCQS;B;B;1;Atomic Structure
G-META-12-12;MCQS;C;C;1;Thermodynamics
G-META-12-13;MCQS;D;A;0;Thermodynamics
G-META-12-14;MCQS;A;A;1;Magnetic Properties
G-META-12-15;MCQS-NUM;B;B;1;Thermodynamics
G-META-12-16;MCQS;B;B;1;Thermodynamics
G-META-12-17;MCQS;C;C;1;Material Characterization
G-META-12-18;MCQS;B;B;1;Material Applications
G-META-12-19;MCQS;D;D;1;Miscellaneous
G-META-12-20;MCQS;A;C;0;Material Characterization
G-META-12-21;MCQS;C;C;1;Material Applications
G-META-12-22;MCQS;D;C;0;Mechanical Properties
G-META-12-24;MCQS;C;C;1;Material Applications
G-META-12-25;MCQS;D;D;1;Electrical Properties
G-META-12-31;MATCH;A;A;1;Phase Transition
G-META-12-32;MCQS;C;D;0;Mechanical Properties
G-META-12-33;MCQS-NUM;B;B;1;Atomic Structure
G-META-12-34;MATCH;D;D;1;Atomic Structure
G-META-12-35;MCQS-NUM;D;D;1;Transport Phenomena
G-META-12-36;MCQS-NUM;B;A;0;Atomic Structure
G-META-12-38;MCQS;A;D;0;Phase Transition
G-META-12-39;MATCH;C;C;1;Material Applications
G-META-12-40;MCQS;A;A;1;Atomic Structure
G-META-12-41;MCQS;D;C;0;Material Processing
G-META-12-43;MATCH;C;C;1;Material Applications
G-META-12-44;MCQS-NUM;C;C;1;Material Processing
G-META-12-45;MCQS-NUM;B;B;1;Atomic Structure
G-META-12-46;MCQS;C;C;1;Material Applications
G-META-12-47;MATCH;C;C;1;Miscellaneous
G-META-12-48;MCQS-NUM;A;;0;Material Characterization
G-META-12-49;MCQS-NUM;B;C;0;Thermodynamics
G-META-12-52;MCQS-NUM;A;A;1;Material Applications
G-META-12-53;MCQS-NUM;B;;0;Material Applications
G-META-12-54;MCQS-NUM;B;C;0;Thermodynamics
G-META-12-6;MCQS;A;A;1;Material Characterization
G-META-12-7;MCQS-NUM;B;;0;Magnetic Properties
G-META-12-8;MCQS;D;C;0;Thermodynamics
G-META-12-9;MCQS;A;A;1;Mechanical Properties
G-META-13-10;MCQS;B;B;1;Atomic Structure
G-META-13-11;MCQS;D;C,D;0;Material Applications
G-META-13-12;MCQS;C;B;0;Material Applications
G-META-13-13;MCQS;A;B;0;Thermodynamics
G-META-13-14;MCQS;B;B;1;Phase Transition
G-META-13-15;MCQS;C;B;0;Mechanical Properties
G-META-13-16;MCQS;B;B;1;Material Applications
G-META-13-17;MCQS;C;C;1;Phase Transition
G-META-13-18;MCQS;B;B;1;Thermodynamics
G-META-13-19;MCQS;A;A,B;0;Material Applications
G-META-13-2;MCQS;D;C;0;Material Applications
G-META-13-20;MCQS;C;C;1;Atomic Structure
G-META-13-22;NUM;0.339 TO 0.341;0,34;1;Thermodynamics
G-META-13-23;NUM;3;3;1;Thermodynamics
G-META-13-24;NUM;0,25;;0;Material Applications
G-META-13-25;NUM;400;400;1;Thermodynamics
G-META-13-29;MCQS-NUM;C;D;0;Thermodynamics
G-META-13-3;MCQS;A;A;1;Material Manufacturing
G-META-13-30;MCQS-NUM;D;D;1;Magnetic Properties
G-META-13-31;MCQS-NUM;A;A;1;Phase Transition
G-META-13-32;MATCH;C;C;1;Atomic Structure
G-META-13-33;MCQS-NUM;B;B;1;Material Characterization
G-META-13-34;MCQS-NUM;D;B;0;Thermodynamics
G-META-13-35;MCQS-NUM;D;D;1;Electrical Properties
G-META-13-36;MCQS-NUM;A;D;0;Material Applications
G-META-13-37;MATCH;D;A;0;Material Applications
G-META-13-38;MATCH;A;A;1;Mechanical Properties
G-META-13-39;MATCH;D;D;1;Atomic Structure
G-META-13-4;MCQS;B;A;0;Transport Phenomena
G-META-13-40;MCQS-NUM;C;A;0;Atomic Structure
G-META-13-41;MATCH;A;A;1;Thermodynamics
G-META-13-42;MCQS;C;C;1;Material Characterization
G-META-13-43;NUM;73 TO 75;74;1;Atomic Structure
G-META-13-46;NUM;7.9 TO 8.3;0,000796;0;Thermodynamics
G-META-13-47;NUM;2626 TO 2632;0;0;Thermodynamics
G-META-13-5;MCQS;A;A;1;Electrical Properties
G-META-13-50;MCQS-NUM;D;C;0;Phase Transition
G-META-13-51;MCQS-NUM;A;A;1;Material Applications
G-META-13-54;MCQS-NUM;B;B;1;Material Manufacturing
G-META-13-55;MCQS-NUM;C;C;1;Atomic Structure
G-META-13-6;MCQS;C;C;1;Mechanical Properties
G-META-13-7;MCQS;A;A;1;Thermodynamics
G-META-13-8;MCQS;B;B;1;Electrical Properties
G-META-13-9;MCQS;A;A;1;Magnetic Properties
G-META-14-1;MCQS;C;D;0;Material Manufacturing
G-META-14-11;MCQS;C;C;1;Phase Transition
G-META-14-12;MCQS;C;C;1;Thermodynamics
G-META-14-13;MCQS;B;B;1;Atomic Structure
G-META-14-14;MCQS;A;A;1;Atomic Structure
G-META-14-15;MCQS;A;A;1;Material Applications
G-META-14-16;MCQS;C;C;1;Atomic Structure
G-META-14-17;NUM;350 T0 350;350;1;Atomic Structure
G-META-14-18;MCQS;A;A;1;Material Characterization
G-META-14-19;MCQS;A;A;1;Mechanical Properties
G-META-14-2;MCQS;D;D;1;Atomic Structure
G-META-14-20;MCQS;C;C;1;Electrical Properties
G-META-14-22;MCQS;A;A;1;Material Applications
G-META-14-23;MCQS;B;B;1;Mechanical Properties
G-META-14-25;MCQS;C;C;1;Material Applications
G-META-14-26;NUM;26.3 TO 26.5;26,4;1;Material Processing
G-META-14-27;MCQS-NUM;C;B;0;Miscellaneous
G-META-14-29;NUM;0.46 TO 0.49;0,4752;1;Electrical Properties
G-META-14-30;MCQS;B;A;0;Atomic Structure
G-META-14-31;MCQS;D;C;0;Magnetic Properties
G-META-14-32;MATCH;C;C;1;Mechanical Properties
G-META-14-33;NUM;951 TO 953;952,38;1;Atomic Structure
G-META-14-34;NUM;2.8 TO 2.9;12,04;0;Magnetic Properties
G-META-14-35;MATCH;D;D;1;Thermodynamics
G-META-14-37;NUM;2;2;1;Atomic Structure
G-META-14-38;NUM;300;300;1;Atomic Structure
G-META-14-39;MCQS;D;D;1;Phase Transition
G-META-14-4;MCQS;C;C;1;Electrical Properties
G-META-14-40;NUM;4.2 TO 4.3;4,24;1;Electrical Properties
G-META-14-41;NUM;0,2;0,2;1;Mechanical Properties
G-META-14-42;MATCH;C;D;0;Material Applications
G-META-14-43;MATCH;B;B;1;Thermodynamics
G-META-14-44;MCQS;A;C;0;Thermodynamics
G-META-14-46;MCQS;C;C;1;Miscellaneous
G-META-14-47;MATCH;B;B;1;Atomic Structure
G-META-14-48;NUM;2.30 TO 2.38;2,338;1;Mechanical Properties
G-META-14-49;NUM;35 TO 36;0,00029;0;Transport Phenomena
G-META-14-5;MCQS;C;C;1;Material Manufacturing
G-META-14-50;MCQS;C;C;1;Thermodynamics
G-META-14-51;MCQS;C;A;0;Material Characterization
G-META-14-53;NUM;22380 TO 22480;17162,444;0;Thermodynamics
G-META-14-55;NUM;30.0 TO 30.5;41,628;0;Atomic Structure
G-META-14-7;MCQS;A;A;1;Material Manufacturing
G-META-14-8;MCQS;B;B;1;Material Manufacturing
G-META-14-9;NUM;19.95 TO 20.05;20;1;Thermodynamics
G-META-15-10;MCQS;D;D;1;Thermodynamics
G-META-15-13;MCQS;D;A;0;Magnetic Properties
G-META-15-14;MCQS;B;B;1;Phase Transition
G-META-15-15;MCQS;D;C;0;Miscellaneous
G-META-15-16;MCQS;A;A;1;Atomic Structure
G-META-15-17;MCQS;C;C;1;Thermodynamics
G-META-15-18;MCQS;B;B;1;Thermodynamics
G-META-15-19;MCQS;B;B;1;Material Manufacturing
G-META-15-20;MCQS;C;C;1;Material Manufacturing
G-META-15-21;MCQS;D;D;1;Material Manufacturing
G-META-15-22;NUM;490 TO 510;500;1;Phase Transition
G-META-15-24;MCQS;C;C;1;Material Applications
G-META-15-25;MCQS;B;B;1;Atomic Structure
G-META-15-31;MCQS;D;D;1;Electrical Properties
G-META-15-32;NUM;2.1 TO 2.3;4,24;0;Phase Transition
G-META-15-33;NUM;1400 TO 1450;1428,57;1;Material Characterization
G-META-15-35;MATCH;B;B;1;Thermodynamics
G-META-15-37;NUM;29.5 TO 30.0;12,94;0;Thermodynamics
G-META-15-38;NUM;0,5;0,5;1;Material Characterization
G-META-15-39;NUM; -1600 TO -1500;-816,917;0;Material Processing
G-META-15-4;MCQS;C;C;1;Atomic Structure
G-META-15-40;MATCH;C;C;1;Phase Transition
G-META-15-41;NUM;1;1;1;Material Manufacturing
G-META-15-42;MATCH;A;A;1;Atomic Structure
G-META-15-45;NUM;0.9 TO 1.1;1;0;Atomic Structure
G-META-15-46;MCQS;B;B;1;Mechanical Properties
G-META-15-47;NUM;0.39 TO 0.41;0,04;0;Material Characterization
G-META-15-48;MATCH;B;B;1;Material Applications
G-META-15-49;NUM;10;10;1;Electrical Properties
G-META-15-5;MCQS;B;B;1;Phase Transition
G-META-15-50;MCQS;D;D;1;Thermodynamics
G-META-15-51;MATCH;C;C;1;Mechanical Properties
G-META-15-52;MATCH;C;C;1;Phase Transition
G-META-15-53;NUM;3;3;1;Phase Transition
G-META-15-54;MATCH;C;A;0;Atomic Structure
G-META-15-55;NUM;100;100;1;Material Applications
G-META-15-7;MCQS;C;C;1;Fluid Mechanics
G-META-15-8;MCQS;A;A;1;Material Manufacturing
G-META-15-9;MCQS;A;A;1;Atomic Structure
G-META-16-10;MCQS;A;D;0;Material Manufacturing
G-META-16-11;MCQS;D;D;1;Material Applications
G-META-16-12;NUM;0.045 TO 0.06;0,07275;0;Material Manufacturing
G-META-16-13;MCQS-NUM;B;B;1;Material Manufacturing
G-META-16-16;NUM;54.0 TO 55.5;54,74;1;Thermodynamics
G-META-16-18;MCQS;B;A;0;Atomic Structure
G-META-16-19;MCQS;A;A,B,C;0;Atomic Structure
G-META-16-20;MCQS;D;C;0;Electrical Properties
G-META-16-21;MCQS;B;B;1;Thermodynamics
