topic;level_1;qids;qstr;num_words;questions;result;filtered_result;correct_result;overlap;error_type
Material Manufacturing;11;G-META-12-10;MCQS;22;Floatation beneficiation is based on the principle of  (A) Mineral surface hydrophobicity (B) Gravity difference (C) Chemical reactivity (D) Particle size difference;"The correct answer is:

(B) Gravity difference

Floatation beneficiation is a process that separates minerals based on their density and buoyancy in water. The principle is that minerals with a lower density than water will float to the surface, while those with a higher density will sink. The process uses a mixture of water and a surfactant, such as frothing agents, to create a froth that traps the mineral particles and allows them to be skimmed off the surface.";B;A;0;
Material Applications;24;G-META-12-11;MCQS;18;Copper can be reduced from acidic copper sulphate solution by  (A) Silver (B) Iron (C) Carbon (D) Lead;"The correct answer is:

(B) Iron

Explanation: Copper can be reduced from acidic copper sulphate solution by iron. This is because iron is more reactive than copper and can displace copper from its solution. The reaction is:

Fe (iron) + CuSO4 (copper sulphate) → FeSO4 (iron sulphate) + Cu (copper)

This reaction is known as displacement reaction.";B;B;1;
Material Manufacturing;12;G-META-12-12;MCQS;15;Which one is NOT an agglomeration process?  (A) Nodulizing (B) Briquetting (C) Roasting (D) Pelletizing;"The correct answer is:

(C) Roasting

Roasting is a thermal process used to heat and dry materials, but it is not an agglomeration process. Agglomeration processes are used to bind particles together to form larger masses or aggregates, and the other options are all examples of agglomeration processes:

* Nodulizing: a process that forms nodules or pellets from powders or granules
* Briquetting: a process that forms briquettes or pucks from powders or granules
* Pelletizing: a process that forms pellets from powders or granules

Therefore, the correct answer is (C) Roasting.";C;C;1;
Material Manufacturing;13;G-META-12-13;MCQS;20;During LD blow in steelmaking the impurity that gets removed first is  (A) Carbon (B) Phosphorous (C) Manganese (D) Silicon;"During LD (Linz-Donawitz) blowing in steelmaking, the impurity that gets removed first is:

**Silicon (D)**

Here's why:

1. Silicon is the most reactive impurity in steel and is easily removed by the oxygen lance.
2. Silicon reacts with oxygen to form silicon dioxide (SiO2), which is a slag-forming oxide that floats on top of the molten steel.
3. As the oxygen lance is blown into the bath, the silicon reacts with oxygen and is removed as a slag, allowing the steel to become more pure.

The other options are not correct because:

* Carbon (A) is not typically removed first during LD blowing, as it is a primary component of steel and is not easily removed by oxygen.
* Phosphorus (B) is a more difficult impurity to remove and is typically removed later in the steelmaking process, often through the use of aluminum or calcium.
* Manganese (C) is not typically removed first during LD blowing, as it is a common alloying element in steel and is not easily removed by oxygen.

Therefore, the correct answer is (D) Silicon.";D;D;1;
Thermodynamics;44;G-META-12-14;MCQS;44;During the solidification of a pure metal, it was found that dendrites are formed. Assuming that the liquid-solid interface is at the melting temperature, the temperature from the interface into the liquid  (A) Decreases (B) Increases (C) Remains constant (D) Increases and then decreases;"Let's analyze the situation:

During the solidification of a pure metal, the liquid-solid interface is at the melting temperature. As we move away from the interface into the liquid, the temperature will decrease due to the heat of fusion being released as the metal solidifies.

The temperature profile will likely follow a characteristic ""frozen layer"" or ""mushy zone"" structure, where the liquid and solid phases coexist. The temperature will decrease as we move away from the interface, as the metal solidifies and releases heat.

Therefore, the correct answer is:

(A) Decreases";A;A;1;
Atomic Structure;44;G-META-12-15;MCQS-NUM;51;A peak in the X-ray diffraction pattern is observed at 2θ = 78°, corresponding to {311} planes of an fcc metal, when the incident beam has a wavelength of 0.154 nm. The lattice parameter of the metal is approximately  (A) 0.6 nm (B) 0.4 nm (C) 0.3 nm (D) 0.2 nm;"To solve this problem, we can use the Bragg equation:

nλ = 2dsinθ

where n is an integer, λ is the wavelength of the X-ray beam, d is the interplanar spacing, and θ is the angle of incidence.

We are given that the peak corresponds to the {311} planes of an fcc metal, which means that the interplanar spacing d can be calculated using the lattice parameter a:

d = a / √(h^2 + k^2 + l^2)

where h, k, and l are the Miller indices.

For the {311} planes, h = 3, k = 1, and l = 1, so:

d = a / √(3^2 + 1^2 + 1^2) = a / √9 + 1 + 1 = a / √11

We are also given that the incident beam has a wavelength of 0.154 nm, and the peak is observed at 2θ = 78°. We can rearrange the Bragg equation to solve for d:

d = λ / (2sinθ)

Substituting the values, we get:

d = 0.154 nm / (2sin(78°)) = 0.154 nm / (2sin(78°))

Using a calculator to evaluate the sine function, we get:

d ≈ 0.225 nm

Now we can solve for the lattice parameter a:

a = d√11 ≈ 0.225 nm√11 ≈ 0.405 nm

So, the correct answer is:

(B) 0.4 nm";B;B;1;
Atomic Structure;45;G-META-12-16;MCQS;34;If d is the inter-planar spacing of the planes {h k l}, the inter-planar spacing of the planes {nh nk nl}, n being an integer, is  (A) d (B) d/n (C) nd (D) d/$n^2$;"The correct answer is:

(B) d/n

The inter-planar spacing of the planes {nh nk nl} is related to the inter-planar spacing of the planes {h k l} by the following equation:

d' = d/n

where d' is the inter-planar spacing of the planes {nh nk nl} and n is an integer.

This is because the planes {nh nk nl} are parallel to the planes {h k l} and are separated by a distance that is n times the distance between the planes {h k l}.";B;B;1;
Electrical Properties;14;G-META-12-17;MCQS;41;As temperature increases, the electrical resistivities of pure metals ($ρ_m$) and intrinsic semiconductors ($ρ_s$) vary as follows  (A) Both $ρ_m$ and $ρ_s$ increase (B) Both $ρ_m$ and $ρ_s$ decrease (C) $ρ_m$ increases and $ρ_s$ decreases (D) $ρ_m$ decreases and $ρ_s$ increases ;"Let's analyze the behavior of electrical resistivity in pure metals and intrinsic semiconductors as temperature increases:

**Pure Metals (ρm)**:

* At low temperatures, the atoms are closely packed, and the electrons are localized, resulting in high resistivity.
* As temperature increases, the atoms vibrate more, causing the electrons to become more mobile and the lattice to expand. This increases the distance between atoms, reducing the scattering of electrons and decreasing the resistivity.
* Above a certain temperature (usually around room temperature), the resistivity of pure metals typically decreases with increasing temperature, following a negative temperature coefficient.

**Intrinsic Semiconductors (ρs)**:

* At low temperatures, the electrons are localized in the valence band, and the resistivity is high.
* As temperature increases, the thermal energy excites some electrons from the valence band to the conduction band, increasing the number of charge carriers and decreasing the resistivity.
* Above a certain temperature (usually around room temperature), the resistivity of intrinsic semiconductors typically decreases with increasing temperature, following a negative temperature coefficient.

Based on this analysis, the correct answer is:

(B) Both m and s decrease

Note that this is a general trend, and there may be exceptions or deviations from this behavior in specific materials or under certain conditions.";B;C;0;
Thermodynamics;45;G-META-12-18;MCQS;54;At equilibrium spacing in a crystalline solid, which of the following is true for net inter-atomic force (F) and potential energy (U)  (A) F is zero and U is zero (B) F is zero and U is minimum (C) F is minimum and U is zero (D) F is minimum and U is minimum;"Let's analyze the options:

A. F is zero and U is zero: This is not possible, as the net inter-atomic force (F) is always zero at equilibrium spacing, but the potential energy (U) is not necessarily zero. At equilibrium, the force is zero because the atoms are not moving, but the potential energy is still present due to the attractive and repulsive forces between the atoms.

B. F is zero and U is minimum: This is correct! At equilibrium spacing, the net inter-atomic force (F) is zero, and the potential energy (U) is at its minimum value. This means that the atoms are in a stable configuration, with the minimum possible energy.

C. F is minimum and U is zero: This is not correct. The net inter-atomic force (F) is not necessarily minimum at equilibrium spacing. In fact, the force can be zero or even negative (attractive) at equilibrium.

D. F is minimum and U is minimum: This is not correct. As mentioned earlier, the potential energy (U) is not necessarily zero at equilibrium spacing, but it is at its minimum value.

Therefore, the correct answer is:

B. F is zero and U is minimum";B;B;1;
Thermodynamics;46;G-META-12-19;MCQS;26;The property of a material that CANNOT be significantly changed by heat treatment is  (A) Yield strength (B) Ultimate tensile strength (C) Ductility (D) Elastic modulus;"The correct answer is:

(D) Elastic modulus

Elastic modulus is a material property that describes the ratio of stress to strain within the proportional limit of a material. It is a fundamental property that cannot be significantly changed by heat treatment, as it is determined by the material's atomic structure and bonding.

Heat treatment can affect other material properties, such as yield strength, ultimate tensile strength, and ductility, by altering the material's microstructure and defects. However, the elastic modulus remains relatively unchanged.

Here is the correct answer:

* (D) Elastic modulus";D;D;1;
