topic;level_1;qids;qstr;num_words;questions;result;filtered_result;correct_result;overlap;error_type
Material Manufacturing;11;G-META-12-10;MCQS;22;Floatation beneficiation is based on the principle of  (A) Mineral surface hydrophobicity (B) Gravity difference (C) Chemical reactivity (D) Particle size difference;" The correct answer to the question is:

(A) Mineral surface hydrophobicity

Floatation beneficiation is a process used to separate minerals based on their hydrophobicity. In this process, air bubbles are introduced into a water-based slurry of ground ore. Hydrophobic minerals attach to the air bubbles and are carried to the surface, where they can be skimmed off, while hydrophilic minerals remain in the water. This method is widely used in the mining industry to concentrate ores of metals such as copper, lead, zinc, and others.

Here is the answer in a list as requested:

- (A) Mineral surface hydrophobicity";A;A;1;
Material Applications;24;G-META-12-11;MCQS;18;Copper can be reduced from acidic copper sulphate solution by  (A) Silver (B) Iron (C) Carbon (D) Lead;" To solve this question, we need to consider the reactivity series of metals. The reactivity series orders metals from the most reactive to the least reactive. Metals that are more reactive can displace less reactive metals from their compounds in aqueous solutions.

The reactivity series in descending order of reactivity is as follows:

Potassium (K) > Sodium (Na) > Calcium (Ca) > Magnesium (Mg) > Aluminum (Al) > Zinc (Zn) > Iron (Fe) > Nickel (Ni) > Tin (Sn) > Lead (Pb) > Hydrogen (H) > Copper (Cu) > Silver (Ag) > Gold (Au)

From this series, we can see that iron (Fe), carbon (C), and lead (Pb) are all more reactive than copper (Cu), while silver (Ag) is less reactive than copper.

Therefore, iron (B), carbon (C), and lead (D) can all reduce copper from acidic copper sulphate solution by displacing the copper ions in the solution. Silver (A), being less reactive than copper, cannot displace copper from its compounds.

The correct answers are:
- Iron (B)
- Carbon (C)
- Lead (D)

Here is the list with the correct answers:

[Iron (B), Carbon (C), Lead (D)]";B,C,D;B;0;
Material Manufacturing;12;G-META-12-12;MCQS;15;Which one is NOT an agglomeration process?  (A) Nodulizing (B) Briquetting (C) Roasting (D) Pelletizing;" To solve this question, we need to understand what each process entails and whether it is considered an agglomeration process.

Agglomeration processes are methods used to form particles into larger, compacted structures. These processes are commonly used in the mining, pharmaceutical, and food industries to improve product handling, enhance product properties, or prepare materials for further processing.

Here are the definitions of each process:

(A) Nodulizing: This is a process that typically involves the addition of a nodulizing agent to convert a material into nodules, which are small, rounded lumps. This can be considered a form of agglomeration.

(B) Briquetting: Briquetting is a process of compressing loose, irregular materials into uniform shapes, such as briquettes, using pressure and sometimes a binding agent. This is a classic example of an agglomeration process.

(C) Roasting: Roasting is a thermal treatment process that involves heating a material in the presence of air or oxygen below its melting point. It is used to drive off volatiles, oxidize the material, or cause a chemical reaction. Roasting does not typically involve the formation of larger, compacted structures from fine particles, so it is not primarily an agglomeration process.

(D) Pelletizing: Pelletizing is the process of compressing or molding a material into the shape of a pellet. It is a common agglomeration technique used to produce pellets from finely divided materials.

Based on these definitions, the process that is NOT an agglomeration process is:

Answer: [(C) Roasting]";C;C;1;
Material Manufacturing;13;G-META-12-13;MCQS;20;During LD blow in steelmaking the impurity that gets removed first is  (A) Carbon (B) Phosphorous (C) Manganese (D) Silicon;"During the LD (Linz-Donawitz) process, also known as the basic oxygen steelmaking process, impurities are removed from molten iron to produce steel. The LD process involves blowing oxygen through a lance into the molten iron, which oxidizes the impurities.

The order of removal of impurities during the LD blow is typically as follows:

1. Carbon (C) is removed first because it has a high affinity for oxygen and forms carbon monoxide (CO) and carbon dioxide (CO2) gases that escape from the molten bath.
2. Silicon (Si) is the next to be oxidized, as it also reacts readily with oxygen to form silicon dioxide (SiO2), which floats to the surface as slag.
3. Manganese (Mn) is oxidized after silicon and also forms oxides that are taken up by the slag.
4. Phosphorus (P) is more difficult to remove than the previous elements and requires the presence of lime or other fluxes to form a stable phosphate slag.

Therefore, the correct answer is:

- [ ] Carbon
- [ ] Phosphorous
- [ ] Manganese
- [x] Silicon

The impurity that gets removed first during the LD blow in steelmaking is Silicon (D).";D;D;1;
Thermodynamics;44;G-META-12-14;MCQS;44;During the solidification of a pure metal, it was found that dendrites are formed. Assuming that the liquid-solid interface is at the melting temperature, the temperature from the interface into the liquid  (A) Decreases (B) Increases (C) Remains constant (D) Increases and then decreases;" During the solidification of a pure metal, dendrites are formed as the metal solidifies from the liquid phase. Dendrites are tree-like structures that form as the solid phase grows into the liquid phase. The tips of these dendrites are where the solidification front advances.

The temperature at the liquid-solid interface remains constant at the melting temperature of the metal during the solidification process. This is because the interface is where the phase change occurs, and for a pure metal, this phase change happens at a specific temperature (the melting point).

However, as you move away from the interface into the liquid phase, the temperature of the liquid metal will decrease. This is due to the release of the latent heat of fusion as the metal solidifies. The latent heat is conducted away from the interface into the surrounding liquid, causing a temperature gradient in the liquid phase. The further you move from the interface, the lower the temperature will be until it reaches the ambient temperature of the liquid metal far from the solidification front.

Therefore, the correct answer to the question is:

(A) Decreases

Here is the answer in list form as requested:

- Correct Answer: (A) Decreases";A;A;1;
Atomic Structure;44;G-META-12-15;MCQS-NUM;51;A peak in the X-ray diffraction pattern is observed at 2θ = 78°, corresponding to {311} planes of an fcc metal, when the incident beam has a wavelength of 0.154 nm. The lattice parameter of the metal is approximately  (A) 0.6 nm (B) 0.4 nm (C) 0.3 nm (D) 0.2 nm;"To solve this problem, we can use the Bragg's law for X-ray diffraction, which is given by:

\[ n\lambda = 2d\sin(\theta) \]

where:
- \( n \) is the order of the reflection (for a peak corresponding to the {311} planes, we can assume \( n = 1 \) since it's the first-order reflection),
- \( \lambda \) is the wavelength of the incident X-ray beam,
- \( d \) is the spacing between the planes causing the diffraction,
- \( \theta \) is the angle of incidence (half of the angle \( 2\theta \) given in the problem).

For an fcc (face-centered cubic) crystal, the interplanar spacing \( d \) for the {311} planes can be calculated using the lattice parameter \( a \) and the Miller indices \( h, k, l \) as follows:

\[ \frac{1}{d^2} = \frac{(h^2 + k^2 + l^2)}{a^2} \]

For the {311} planes, \( h = 3, k = 1, l = 1 \), so we have:

\[ \frac{1}{d^2} = \frac{(3^2 + 1^2 + 1^2)}{a^2} = \frac{11}{a^2} \]

\[ d^2 = \frac{a^2}{11} \]

\[ d = \frac{a}{\sqrt{11}} \]

Now, we can plug this expression for \( d \) into Bragg's law:

\[ \lambda = 2d\sin(\theta) \]

\[ \lambda = 2\left(\frac{a}{\sqrt{11}}\right)\sin(\theta) \]

Given that \( \lambda = 0.154 \) nm and \( 2\theta = 78^\circ \), we can solve for \( a \):

\[ 0.154 \text{ nm} = 2\left(\frac{a}{\sqrt{11}}\right)\sin(39^\circ) \]

\[ a = \frac{0.154 \text{ nm}}{2\sin(39^\circ)} \times \sqrt{11} \]

Now, we calculate the value of \( a \):

\[ a = \frac{0.154 \text{ nm}}{2 \times 0.62996} \times \sqrt{11} \]

\[ a = \frac{0.154 \text{ nm}}{1.25992} \times \sqrt{11} \]

\[ a \approx \frac{0.154 \text{ nm}}{1.25992} \times 3.31662 \]

\[ a \approx 0.398 \text{ nm} \times 3.31662 \]

\[ a \approx 1.32 \text{ nm} \]

Since none of the given options (A) 0.6 nm, (B) 0.4 nm, (C) 0.3 nm, or (D) 0.2 nm match the calculated lattice parameter, it seems there might be a mistake in the calculation or in the provided options. However, the closest answer to our calculated value is (A) 0.6 nm, which is the only option greater than our calculated value of approximately 1.32 nm. It's possible that the calculated value is correct and the options do not include the correct lattice parameter, or there could be an error in the question or the calculation process.

Given the options provided and the fact that the calculated value is not among them, we would choose the closest one, which is:

Answer:
- (A) 0.6 nm";A;B;0;
Atomic Structure;45;G-META-12-16;MCQS;34;If d is the inter-planar spacing of the planes {h k l}, the inter-planar spacing of the planes {nh nk nl}, n being an integer, is  (A) d (B) d/n (C) nd (D) d/$n^2$;"The inter-planar spacing d for a set of planes {h k l} in a crystal lattice is given by the formula:

\[ d_{hkl} = \frac{1}{\sqrt{\frac{h^2}{a^2} + \frac{k^2}{b^2} + \frac{l^2}{c^2}}} \]

where a, b, and c are the lattice constants of the unit cell.

If we consider the planes {nh nk nl}, where n is an integer, the inter-planar spacing for these planes, \( d_{nh nk nl} \), would be:

\[ d_{nh nk nl} = \frac{1}{\sqrt{\frac{(nh)^2}{a^2} + \frac{(nk)^2}{b^2} + \frac{(nl)^2}{c^2}}} \]

\[ d_{nh nk nl} = \frac{1}{\sqrt{n^2 \left( \frac{h^2}{a^2} + \frac{k^2}{b^2} + \frac{l^2}{c^2} \right)}} \]

\[ d_{nh nk nl} = \frac{1}{n \sqrt{\frac{h^2}{a^2} + \frac{k^2}{b^2} + \frac{l^2}{c^2}}} \]

Since \( \sqrt{\frac{h^2}{a^2} + \frac{k^2}{b^2} + \frac{l^2}{c^2}} = \frac{1}{d_{hkl}} \), we can substitute this into the equation:

\[ d_{nh nk nl} = \frac{1}{n \cdot \frac{1}{d_{hkl}}} \]

\[ d_{nh nk nl} = \frac{d_{hkl}}{n} \]

Therefore, the inter-planar spacing of the planes {nh nk nl} is \( \frac{d_{hkl}}{n} \).

The correct answer to the question is:

- (B) \( d/n \)

So the list with the correct answer is:

- [(B) \( d/n \)]";B;B;1;
Electrical Properties;14;G-META-12-17;MCQS;41;As temperature increases, the electrical resistivities of pure metals ($ρ_m$) and intrinsic semiconductors ($ρ_s$) vary as follows  (A) Both $ρ_m$ and $ρ_s$ increase (B) Both $ρ_m$ and $ρ_s$ decrease (C) $ρ_m$ increases and $ρ_s$ decreases (D) $ρ_m$ decreases and $ρ_s$ increases ;"The electrical resistivity of a material is a measure of how strongly it resists the flow of electric current. The temperature dependence of electrical resistivity varies between different types of materials. Here's how it behaves for pure metals and intrinsic semiconductors:

1. **Pure Metals**: As temperature increases, the resistivity of pure metals also increases. This is because at higher temperatures, the atoms in the metal lattice vibrate more vigorously. These vibrations scatter the free electrons that carry the electric current, leading to increased resistance to electron flow and thus higher resistivity.

2. **Intrinsic Semiconductors**: In contrast, the resistivity of intrinsic semiconductors decreases as temperature increases. This is because, at higher temperatures, more electrons gain enough thermal energy to be excited across the energy gap from the valence band to the conduction band, creating more charge carriers (electrons and holes). This increase in the number of charge carriers leads to a decrease in resistivity.

Given this information, the correct answer to the question is:

- (D) $ρ_m$ decreases and $ρ_s$ increases

So the answer in list form is:

- [(D) $ρ_m$ decreases and $ρ_s$ increases]";D;C;0;
Thermodynamics;45;G-META-12-18;MCQS;54;At equilibrium spacing in a crystalline solid, which of the following is true for net inter-atomic force (F) and potential energy (U)  (A) F is zero and U is zero (B) F is zero and U is minimum (C) F is minimum and U is zero (D) F is minimum and U is minimum;" At equilibrium spacing in a crystalline solid, the net inter-atomic force (F) between atoms or ions is zero because the forces of attraction and repulsion are balanced. This balance results in the potential energy (U) being at its minimum value. This is because any deviation from the equilibrium position would require energy to either bring the atoms closer (overcoming repulsive forces) or move them further apart (overcoming attractive forces).

Therefore, the correct answer is:

- [B] F is zero and U is minimum";B;B;1;
Thermodynamics;46;G-META-12-19;MCQS;26;The property of a material that CANNOT be significantly changed by heat treatment is  (A) Yield strength (B) Ultimate tensile strength (C) Ductility (D) Elastic modulus;" The property of a material that CANNOT be significantly changed by heat treatment is:

(D) Elastic modulus

The elastic modulus, also known as Young's modulus, is a measure of the stiffness of a material. It is a fundamental property that is dependent on the atomic bonding within the material and is not significantly altered by heat treatment. Heat treatment can change other properties such as yield strength (A), ultimate tensile strength (B), and ductility (C) by altering the microstructure of the material, but the elastic modulus remains relatively constant.

[Elastic modulus]";D;D;1;
