topic;level_1;qids;qstr;num_words;questions;result;filtered_result;correct_result;overlap;error_type
Material manufacturing;11;G-META-12-10;MCQS;22;Floatation beneficiation is based on the principle of  (A) Mineral surface hydrophobicity (B) Gravity difference (C) Chemical reactivity (D) Particle size difference; The correct answer is (A) Mineral surface hydrophobicity. Floatation beneficiation is a process used to separate minerals based on their hydrophobic or hydrophilic properties. In this process, air bubbles are introduced into a water-based slurry of ground ore, and the hydrophobic minerals attach to the air bubbles and float to the surface, while the hydrophilic minerals remain in the water. This allows for the separation of valuable minerals from waste rock.;A;A;1;
Material Applications;24;G-META-12-11;MCQS;18;Copper can be reduced from acidic copper sulphate solution by  (A) Silver (B) Iron (C) Carbon (D) Lead;" The correct answer is (B) Iron. Iron is more reactive than copper and can displace copper from its salt solution. This reaction is a type of single displacement reaction. The other options, silver, carbon, and lead, are less reactive than copper and cannot displace it from its salt solution.

Answer:
(B) Iron";B;B;1;
Material manufacturing;12;G-META-12-12;MCQS;15;Which one is NOT an agglomeration process?  (A) Nodulizing (B) Briquetting (C) Roasting (D) Pelletizing;" (C) Roasting

Explanation:
Agglomeration processes are used to convert fine particles into larger ones, which are easier to handle and process. Nodulizing, briquetting, and pelletizing are all agglomeration processes. Roasting, on the other hand, is a thermal treatment process used to change the physical and chemical properties of a substance, often to remove impurities or to convert a mineral to a more stable form. It does not involve the agglomeration of fine particles.

Answer:
- (C) Roasting";C;C;1;
Material manufacturing;13;G-META-12-13;MCQS;20;During LD blow in steelmaking the impurity that gets removed first is  (A) Carbon (B) Phosphorous (C) Manganese (D) Silicon;" The correct answer is (A) Carbon. During the LD (Linz-Donawitz) process of steelmaking, also known as the basic oxygen steelmaking process, carbon is the first impurity to be removed. This is because carbon has a high affinity for oxygen and is readily oxidized, forming carbon monoxide and carbon dioxide gases that escape from the molten steel. The other impurities listed, such as phosphorus, manganese, and silicon, have lower affinities for oxygen and are removed at later stages of the process.

Answer: [(A) Carbon]";A;D;0;
Thermodynamics;44;G-META-12-14;MCQS;44;During the solidification of a pure metal, it was found that dendrites are formed. Assuming that the liquid-solid interface is at the melting temperature, the temperature from the interface into the liquid  (A) Decreases (B) Increases (C) Remains constant (D) Increases and then decreases;" (A) Decreases

Explanation: During the solidification of a pure metal, the temperature decreases from the liquid-solid interface into the liquid. This is because as the metal solidifies, it releases latent heat of fusion, which is absorbed by the surrounding liquid metal, causing its temperature to decrease. The liquid-solid interface is at the melting temperature, and the temperature decreases as we move away from the interface into the liquid. Therefore, the correct answer is (A) Decreases.

Answer:

(A) Decreases";A;A;1;
Atomic structure;44;G-META-12-15;MCQS-NUM;51;A peak in the X-ray diffraction pattern is observed at 2θ = 78°, corresponding to {311} planes of an fcc metal, when the incident beam has a wavelength of 0.154 nm. The lattice parameter of the metal is approximately  (A) 0.6 nm (B) 0.4 nm (C) 0.3 nm (D) 0.2 nm;"To solve this problem, we can use the Bragg's Law for X-ray diffraction, which is given by:

nλ = 2d\*sin(θ)

where:
- n is the order of reflection (an integer, usually 1 for first-order reflection),
- λ is the wavelength of the incident X-ray beam,
- d is the interplanar spacing between the planes causing the diffraction, and
- θ is the angle between the incident beam and the diffracting planes.

In this problem, we are given:
- λ = 0.154 nm,
- θ = 78°/2 = 39° (since 2θ is given), and
- the diffracting planes are {311} planes of an fcc metal.

For an fcc crystal, the interplanar spacing d for the {hkl} planes is given by:

d = a / √(h^2 + k^2 + l^2)

where a is the lattice parameter and h, k, l are the Miller indices of the planes.

For the {311} planes, h = 3, k = 1, and l = 1. Substituting these values, we get:

d = a / √(3^2 + 1^2 + 1^2) = a / √(11)

Now, we can substitute the value of d in Bragg's Law and solve for a:

nλ = 2(a / √(11))\*sin(θ)

Since n = 1 for first-order reflection, we have:

λ = 2(a / √(11))\*sin(θ)

Rearranging for a, we get:

a = λ\*√(11) / (2\*sin(θ))

Substituting the given values, we get:

a = 0.154 nm\*√(11) / (2\*sin(39°)) ≈ 0.39 nm

Therefore, the lattice parameter of the metal is approximately 0.39 nm, which is closest to option (C) 0.3 nm.

So, the correct answer is (C) 0.3 nm.

Answer:
- (C) 0.3 nm";C;B;0;
Atomic structure;45;G-META-12-16;MCQS;34;If d is the inter-planar spacing of the planes {h k l}, the inter-planar spacing of the planes {nh nk nl}, n being an integer, is  (A) d (B) d/n (C) nd (D) d/$n^2$;"The interplanar spacing of a crystal plane is given by the formula:

d(hkl) = a / √(h^2 + k^2 + l^2)

where a is the lattice constant and h, k, l are the Miller indices of the plane.

If we consider the planes {nh nk nl}, the interplanar spacing would be:

d(nh nk nl) = a / √((nh)^2 + (nk)^2 + (nl)^2)

This simplifies to:

d(nh nk nl) = a / √(n^2 * (h^2 + k^2 + l^2))

Which further simplifies to:

d(nh nk nl) = a / (n * √(h^2 + k^2 + l^2))

This is equal to:

d(nh nk nl) = d(hkl) / n

So, the interplanar spacing of the planes {nh nk nl} is d(hkl) / n.

Therefore, the correct answer is (B) d/n.

Answer: (B) d/n";B;B;1;
Electrical;14;G-META-12-17;MCQS;41;As temperature increases, the electrical resistivities of pure metals ($ρ_m$) and intrinsic semiconductors ($ρ_s$) vary as follows  (A) Both $ρ_m$ and $ρ_s$ increase (B) Both $ρ_m$ and $ρ_s$ decrease (C) $ρ_m$ increases and $ρ_s$ decreases (D) $ρ_m$ decreases and $ρ_s$ increases ;" The electrical resistivity of a pure metal increases with an increase in temperature. This is because, at higher temperatures, the atoms in the metal vibrate more, which increases the scattering of electrons and thus increases the resistivity.

On the other hand, the electrical resistivity of an intrinsic semiconductor decreases with an increase in temperature. This is because, at higher temperatures, more electrons gain enough thermal energy to jump from the valence band to the conduction band, which increases the number of charge carriers and thus decreases the resistivity.

Therefore, the correct answer is (C) $ρ_m$ increases and $ρ_s$ decreases.

Answer:
(C) $ρ_m$ increases and $ρ_s$ decreases";C;C;1;
Thermodynamics;45;G-META-12-18;MCQS;54;At equilibrium spacing in a crystalline solid, which of the following is true for net inter-atomic force (F) and potential energy (U)  (A) F is zero and U is zero (B) F is zero and U is minimum (C) F is minimum and U is zero (D) F is minimum and U is minimum;" The correct answer is (B) F is zero and U is minimum.

At equilibrium spacing in a crystalline solid, the net inter-atomic force is zero because the attractive and repulsive forces between atoms balance each other out. The potential energy is at a minimum because the atoms are in their most stable configuration, where the total energy of the system is minimized.";B;B;1;
Thermodynamics;46;G-META-12-19;MCQS;26;The property of a material that CANNOT be significantly changed by heat treatment is  (A) Yield strength (B) Ultimate tensile strength (C) Ductility (D) Elastic modulus;" The property of a material that CANNOT be significantly changed by heat treatment is (D) Elastic modulus.

Answer:

(D) Elastic modulus";D;D;1;
