topic,level_1,qids,qstr,num_words,questions,result,filtered_result,correct_result,overlap,error_type
Thermodynamics,0,G-XEC-2012-3,MCQS,23,Which of the following techniques is NOT used to grow single crystals of semiconductors?  (A) Calendering (B) Czochralski (C) Float zone (D) Bridgman,(A) Calendering,,,0,
Thermodynamics,1,G-XEC-2012-4,MCQS,28,Which of the following signals is produced due to the elastic scattering of electrons by a material?  (A) Secondary electron (B) Backscattered electron (C) Auger electron (D) Photoelectron,(A) Secondary electron,,,0,
Thermodynamics,2,G-XEC-2012-6,MCQS,49,"Of the following materials, which is the most suitable for an LED emitting at around 380 nm?  (A) Direct bandgap material with a small bandgap (B) Indirect bandgap material with a large bandgap (C) Direct bandgap material with a large bandgap (D) Indirect bandgap material with a small bandgap ",(A) Direct bandgap material with a small bandgap,,,0,
Thermodynamics,3,G-XEC-2012-7,MCQS,19,Which material has the lowest specific heat capacity at room temperature?  (A) Water (B) Mercury (C) Copper (D) Silver,(B) Mercury,,,0,
Thermodynamics,4,G-XEC-2013-15,NUM,29,"The band gap of a semiconducting material used to make an LED is 1.43 eV. What will be the minimum wavelength ofthe radiation emitted by this LED, in μm?",The minimum wavelength of the radiation emitted by the LED will be 0.866 μm.,,,0,
Thermodynamics,5,G-XEC-2014-3,MCQS,25,"At room temperature, the typical barrier potential for silicon p-n junction in Volt (V) is  (A) 0.7 * $10^(-23)$ (B) 0.07 (C) 0.70 (D) 7.0",(C) 0.70,,,0,
Thermodynamics,6,G-XEC-2014-6,MCQS,44,"At low injection level, a forward biased p-n junction would have  (A) no charge carriers (B) minority carrier concentration much more than majority carrier concentration (C) minority carrier concentration equal to majority carrier concentration (D) minority carrier concentration much less than majority carrier concentration",(C) minority carrier concentration equal to majority carrier concentration,,,0,
Thermodynamics,7,G-XEC-2014-12,NUM,50,"A copper cup weighing 140 g contains 80 g of water at 4 °C. Specific heats of water and copper are 4.18 and 0.385 J/g °C, respectively. If 100 g of water that is at 90 °C is added to the cup, the final temperature of water in °C is","46.4°C

Correct answer: 
46.4°C",,,0,
Thermodynamics,8,G-XEC-2014-17,MCQS-NUM,44,"The energy in eV and the wavelength in μm, respectively, of the photon emitted when an electron in a hydrogen atom falls from n = 4 to n = 2 state is  (A) 3.0, 0.413 (B) 2.55, 0.365 (C) 2.75, 0.451 (D) 2.55, 0.487","(B) 2.55, 0.365",,,0,
Thermodynamics,9,G-XEC-2015-44-1,MCQS,50,Arrange the following elements in order of increasing melting point: (P) gallium (Q) tungsten (R) aluminium (S) gold  Options: (A) P < R< Q < S (B) S < P < R < Q (C) P < R < S < Q (D) R < S < Q < P,(C) P < R < S < Q,,,0,
Thermodynamics,10,G-XEC-2015-45-2,MCQS,50,"When the atoms in a solid are separated by their equilibrium distance,  (A) the potential energy of the solid is lowest (B) the force of attraction between the atoms is maximum (C) the force of repulsion between the atoms is zero (D) the potential energy of the solid is zero",(A) the potential energy of the solid is lowest,,,0,
Thermodynamics,11,G-XEC-2015-47-4,MCQS,70,"Which of the following statements is TRUE about the glass transition temperature (Tg)?  (A) Tg appears below the melting temperature in a perfectly crystalline material (B) Upon heating through Tg, heat capacity remains constant but the thermal expansion coefficient changes (C) Upon heating through Tg, heat capacity changes but the thermal expansion coefficient remains the same (D) Upon heating through Tg, both the heat capacity and thermal expansion coefficient change","(B) Upon heating through Tg, heat capacity remains constant but the thermal expansion coefficient changes",,,0,
Thermodynamics,12,G-XEC-2015-48-5,MCQS,31,"The slope of a graph of $log_e$(conductivity) versus 1/T (where T is the temperature) for an intrinsic semiconductor with energy gap $E_g$, is  (A) $E_g$/2k (B) –$E_g$/2k (C) $E_g$/k (D) −$E_g$/k",(C) $E_g$/k,,,0,
Thermodynamics,13,G-XEC-2015-55-12,NUM,44,"With increasing temperature from 15°C in winter to 45°C in summer, the length of an iron rail track increases by 0.05 cm. Calculate the original length of the iron rail track in cm. (linear thermal expansion coefficient of iron is 11.0 * $10^(-6)$ $K^(-1)$)",Original length of the iron rail track: 45.45 cm,,,0,
Thermodynamics,14,G-XEC-2015-65-22,NUM,32,What would be the maximum number of electron-hole pairs that can be generated using a silicon detector irradiated by x-ray of energy 1.54 keV. The band gap of silicon is 1.1 eV.,"1. 1.54 keV / 1.1 eV = 1.4 electron-hole pairs

Therefore, the maximum number of electron-hole pairs that can be generated using a silicon detector irradiated by x-ray of energy 1.54 keV is 1.4 pairs.",,,0,
Thermodynamics,15,G-XEC-2016-3,MCQS,23,Which of the following thermodynamic properties shows a discontinuity during a second-order phase transition?  (A) Volume (B) Enthalpy (C) Entropy (D) Heat capacity,(B) Enthalpy,,,0,
Thermodynamics,16,G-XEC-2016-5,MCQS,34,"For a typical metal at room temperature and atmospheric pressure, the Fermi energy is defined as the energy level for which the probability of occupancy is:  (A) 0 (B) 0.25 (C) 0.5 (D) 1",(A) 0,,,0,
Thermodynamics,17,G-XEC-2016-13,NUM,57,"Given: Planck’s constant, h = 6.626 * $10^(−34)$ J s, the charge of an electron, e = 1.6 * $10^(−19)$ C, and speed of light, c = 3 * $10^8$ m $s^(−1)$. A direct bandgap semiconductor has a bandgap of 1.8 eV. The threshold value of the wavelength(in Å) BELOW which this material will absorb radiation is","The threshold value of the wavelength below which this material will absorb radiation is 6880 Å. 

[6880 Å]",,,0,
Thermodynamics,18,G-XEC-2016-21,MCQS,79,"In the photoelectric effect, electrons are ejected  (A) at all wavelengths, as long as the intensity of the incident radiation is above a threshold value. (B) at all wavelengths, as long as the intensity of the incident radiation is below a threshold value. (C) at all intensities, as long as the wavelength of the incident radiation is below a threshold value. (D) at all intensities, as long as the wavelength of the incident radiation is above a threshold value","(A) at all wavelengths, as long as the intensity of the incident radiation is above a threshold value.",,,0,
Thermodynamics,19,G-XEC-2018-4,MCQS,56,An electron makes a transition from the valence band to the conduction band in an indirect band gap semiconductor. Which one of the following is true?  (A) Energy of the electron decreases. (B) A photon is emitted in the process. (C) A phonon is annihilated in the process. (D) A photon is created in the process.,(B) A photon is emitted in the process.,,,0,
Thermodynamics,20,G-XEC-2018-18,NUM,42,"When 3 identical non-interacting spin ½ particles are put in an infinite potential well, the ground state energy of the system is 18 meV. If instead, seven particles are put inside the potential well, the new ground state energy in meV is?",36 meV,,,0,
Thermodynamics,21,G-XEC-2018-22,NUM,59,"Given: Activation energy Q = 148 kJ $mol^(-1)$, Gas constant, R = 8.314 J $mol^(-1)$ $K^(-1)$. Mild steel is carburized at 1300 K for 1 hour to obtain a certain case depth. Keeping the time as 1 hour, the case depth can be doubled by increasing the temperature to what temperature(in K)? (round off to the nearest whole number)","The case depth can be doubled by increasing the temperature to 1463 K.

Correct answer: 
1463 K",,,0,
Thermodynamics,22,G-XEC-2019-7,MCQS,33,GaAs has advantage over silicon when used in intergrated circuits at low power because it has  (A) larger band gap (B) more than one element (C) higher electron mobility (D) higher hole mobility,(C) higher electron mobility,,,0,
Thermodynamics,23,G-XEC-2019-9,MCQS-NUM,57,"(Given: energy gap of Ge = 0.67 eV, Planck’s constant h = 6.63 * $10^(-34)$ J s, velocity of light c = 3 * $10^(8)ms^(-1)$ and 1 eV = 1.6*$10^(-19)$ J ). The maximum wavelength of radiation to which Germanium (Ge) is opaque will be  (A) 0.8 μm (B) 1.8 μm (C) 2.8 μm (D) 4.8 μm",(A) 0.8 μm,,,0,
Thermodynamics,24,G-XEC-2019-15,NUM,55,"(Given: Constants A = 6* $10^(-20)$ J $nm^3$, B = 2.1 * $10^(-22)$ J $nm^(7)$). The potential energy, U(r), of a pair of atoms spaced at a distance r in a solid is given by U(𝑟)= −(𝐴/$𝑟^3$) + (𝐵/$𝑟^7$) . The equilibrium distance(in nm) between the atom pair is? (round off to 2 decimal places)",[0.38 nm],,,0,
Thermodynamics,25,G-XEC-2019-18,NUM,42,"(Given: Planck’s constant h = 6.63 * $10^(-34)$ J s, 1ev = 1.6*$10^(-19)$ J, electron mass = 9.11×$10^(-31)$ kg ). The zero point energy(in ev) of an electron in a box of 0.2 nm width is? (round off to 1 decimal place)",0.7 eV,,,0,
Thermodynamics,26,G-XEC-2020-8,NUM,80,"A ceramic material is periodically heated and cooled between 25° C and a higher temperature $T_f$. During thermal cycling, the material remains dimensionally constrained. The material can withstand a maximum compressive stress of 200 MPa without failure. Material's coefficient of thermal expansion is 7.5* $10^(-6)°C^(-1)$ and modulus of elasticity (E) is 200GPa. The lowest value of $T_f$( in °C) at which material will fail is?(round off to the nearest integer.). Assume that there is no plastic deformation during thermal cycling. ","The lowest value of $T_f$ at which the material will fail is 225°C. 

Correct answer: 
225°C",,,0,
Thermodynamics,27,G-XEC-2020-9,NUM,58,"Given that 	$γ_(sl)$ (solid liquid interfacial energy) is 0.18 $J.m^(-2)$ and $ΔG_v$ (change in volume free energy upon transformation from liquid to solid) is $T_s$ is 0.18*$10^(9)J.m^(-3)$. During homogeneous solidification of a liquid metal, the radius of critical nucleus(in nanometer, nm) at a temperature $T_s$ which is below the melting point($T_m$), is ? (round-off to one decimal place).",The radius of the critical nucleus is 1.2 nm.,,,0,
Thermodynamics,28,G-XEC-2021-7,MCQS,47,Which of the following deposition conditions favour the formation of larger grains in thin film?   (A) Low deposition rate and low substrate temperature (B) Low deposition rate and high substrate temperature (C) High deposition rate and low substrate temperature (D) High deposition rate and high substrate temperature,(B) Low deposition rate and high substrate temperature,,,0,
Thermodynamics,29,G-XEC-2021-8,MCQS,82,"A metal has a melting point of 600 °C. By rapid cooling, liquid metal can be made to solidify either at 500 °C or 400 °C or 300  °C. Critical size of the solid nuclei is   (A) same for solidification at 400 °C and 500 °C (B) smaller for solidification at 400  °C as compared to solidification at 500 °C (C) larger for solidification at 400 °C as compared to solidification at 500 °C (D) the smallest for solidification at 300 °C",(B) smaller for solidification at 400 °C as compared to solidification at 500 °C,,,0,
Thermodynamics,30,G-XEC-2022-11,MCQS,79,"For a glass marginally below its glass transition temperature, which one of the following statements is true?   (A) Glass has higher enthalpy than both the corresponding crystalline and liquid phases (B) Glass has lower enthalpy than both the corresponding crystalline and liquid phases (C) Glass has higher entropy than the corresponding crystalline phase and lower entropy than the corresponding liquid phase (D) Glass has lower entropy than the corresponding crystalline phase and higher entropy than the corresponding liquid phase ",(C) Glass has higher entropy than the corresponding crystalline phase and lower entropy than the corresponding liquid phase,,,0,
Thermodynamics,31,G-XEC-2015-56-13,NUM,41,What is the thickness (in µm) of a germanium crystal layer that would be required for absorbing 80% of the incident radiation whose wavelength is 1.3 µm? The absorption coefficient (α) of germanium at 1.3 µm is 3.3 * $10^5$ $m^(-1)$.,The thickness of the germanium crystal layer required for absorbing 80% of the incident radiation is 1.06 µm.,,,0,
Thermodynamics,32,G-XEC-2016-17,NUM,34,"A batch of spherical titania nanoparticles, uniform in size, has a specific surface area of 125 $m^2$ $^(g−1)$. If the density of titania is 4.23 g $cm^(−3)$, the diameter(in nm) of the particles is","Answer:
- 5.9 nm",,,0,
Thermodynamics,33,G-XEC-2018-16,NUM,86,"(Given: Planck’s constant, h = 6.6 * $10^(-34)$ J s; speed of light, c = 3 * $10^8$ m $s^(-1)$). The atoms in a gas laser have two energy levels such that a transition from the higher to the lower level releases a photon of wavelength 500 nm. If 7 * $10^(20)$ atoms are pumped into the upper level with 4 * $10^(20)$ atoms in the lower level, the amount of energy released in a single pulse in Joules (give answer up to 2 decimal places).",0.01 J,,,0,
Thermodynamics,34,G-XEC-2018-17,NUM,65,"(Given: Planck’s constant, h = 6.6 * $10^(-34)$ J s; mass of electron = 9.1 * $10^(31)$ kg). The speed of an electron is measured to be 300 m $s^(-1)$ with an uncertainty of 0.01%. The fundamental accuracy with which the position of the electron can be determined simultaneously with the speed in the same experiment in mm? (give answer up to 2 decimal places)","0.03 mm

Correct answer: [0.03]",,,0,
Thermodynamics,35,G-XEC-2019-19,NUM,55,"(Given: Planck’s constant h = 6.63 * $10^(-34)$ J s, electron charge = 1.6*$10^(-19)$ C, electron rest mass = 9.11×$10^(-31)$ kg ). The de Broglie wavelength of an electron accelerated across a 300 kV potential in an electron microscope is x * $10^(-12)$ m. Find x. Ignore relativistic effects. (round off to 2 decimal places)",0.03,,,0,
Thermodynamics,36,G-XEC-2019-20,NUM,62,A stress of 17 MPa is applied to a polymer serving as a fastener in a complex assembly. At constant strain the stress drops to 16.6 MPa after 100 hours. The stress on the polymer must remain above 14.5 MPa in order for the assembly to function properly. The expected life(in hours) of the assembly is? (round off to the nearest integer),"The expected life of the assembly is 200 hours. 

[200]",,,0,
Thermodynamics,37,G-XEC-2020-13,MCQS-NUM,55,"Given: Activation energy for the formation of schottky defect = 250 kJ $mol^(-1)$. Avogadro number = 6.023* $10^(23)mol^(-1)$, Universal Gas Constant = 8.314 $J.K^(-1).mol^(-1)$. The number of Schottky defects per mole of KCL at 300 °C under equilibrium condition will be:   (A) 1.21 * $10^(18)$ (B) 1.52 * $10^(16)$ (C) 9.75 (D) 2.42 * $10^(12)$",(A) 1.21 * 10^(18),,,0,
Thermodynamics,38,G-XEC-2020-16,NUM,121,"Intrinsic carrier concentration of Si, $n_i$ is gives as: $n_i$ = 2* $([2πmk_(B)T]/h^(2))^(3/2)$ * $exp(-{E_g/k_(B)T})$ wher Mass of an electron, m = 9.1 * $10^(-31)$ kg, charge of an electron, e = 1.6 * $10^(-19)$ C, Boltzmann constant $k_B$ = 1.38 * $10^(-23)$ J.$K^(-1)$, Planck’s constant h = 6.6 * $10^(-34)$ J.$s^(-1)$. Pure silicon (Si) has a band gap ($E_g$) of 1.1 eV. This Si is doped with 1 ppm (parts per million) of phosphorus atoms. Si contains 5 * $10^(28)$ per atoms per $m^3$ in pure form. At temperature T = 300K, the shift in Fermi energy(in ev) upon doping with respect to intrinsic Fermi level of pure Si will be? (with appropriate sign and round-off to two decimal places).",[0.03 eV],,,0,
Thermodynamics,39,G-XEC-2020-21,NUM,58,"Isothermal weight gain per unit area (ΔW/A, where ΔW is the weight gain(in mg) and A is the area (in $cm^2$)) during oxidation of a metal at 600°C follows parabolic rate law, where ΔW/A = 1.0 mg.A$cm^(-2)$ after 100 min of oxidation. The ΔW/A (in mg.$cm^(-2)$) after 500 min at 600°C will be? (round-off to two decimal places). ","2.50 mg.$cm^(-2)$

Correct answer: 2.50 mg.$cm^(-2)$",,,0,
Thermodynamics,40,G-XEC-2021-20,NUM,49,"At 1000 K, the linear thermal expansion coefficients of graphite, parallel and perpendicular to the graphite layers, are 0.8 * $10^(−6)K^(−1)$ and 29 * $10^(−6)K^(−1)$, respectively. The percentage increase in the volume of graphite when heated from 900 K to 1100 K is? (round off to 2 decimal places)",[0.24%],,,0,
Thermodynamics,41,G-XEC-2022-15,MCQS,110,"A student aims to deposit a thin metallic film on $SiO_2$ substrate, with an adhesion layer between the metal film and substrate, in a contiguous planar fashion. Island type of growth must be avoided. The student performs an extensive optimization exercise. Which one of the following steps is in the right direction?   (A) Choose a metallic adhesion layer with very low interfacial energy with the deposited thin film (B) Choose a metallic adhesion layer with very low interfacial energy with $SiO_2$, irrespective of its interaction with metal film to be deposited (C) Increase the substrate temperature and decrease the deposition rate (D) Use intermittent stages of deposition followed by annealing",(D) Use intermittent stages of deposition followed by annealing,,,0,
Thermodynamics,42,G-XEC-2022-20,NUM,95,"Given: $𝑁_A$: Avogadro’s number = 6.02 * $10^(23)mole^(-1)$, $𝑘_B$: Boltzmann’s constant = 8.62 * $10^(-5)$ eV/K, 𝑇: Absolute temperature, Mobility of electrons in the semiconductor = 0.14 $m^2$/(V s), Mobility of holes in the semiconductor = 0.06 $m^2$/(V s), Absolute charge of an electron = 1.60 * $10^(-19) C. The resistivity of a pure semiconductor at 298 K is 3000 Ωm. Assume that the number of electrons excited ($𝑛_e$) across the band gap is given by the relation $n_e$ = $(N_A)*exp(-{E_g/k_(B)T})$. The band gap(in ev) ($𝐸_g$) of the semiconductor is? (Round off to two decimals) ",The band gap of the semiconductor is 1.21 eV.,,,0,
Thermodynamics,43,G-XEC-2022-21,NUM,81,"A new glass material is developed to minimize the transmission of the light through the window with glass panel of thickness 5 mm. The refractive index of the glass material is 1.5 and the absorption coefficient can be changed from 0.3 $cm^(-1)$ to 1 $cm^(-1)$. In the given range of absorption coefficients, the ratio of the maximum to the minimum fraction of the light coming out of the other side of the glass panel is? (Round off to two decimal places) ",[3.33],,,0,
Thermodynamics,44,G-META-12-14,MCQS,44,"During the solidification of a pure metal, it was found that dendrites are formed. Assuming that the liquid-solid interface is at the melting temperature, the temperature from the interface into the liquid  (A) Decreases (B) Increases (C) Remains constant (D) Increases and then decreases",(A) Decreases,,,0,
Thermodynamics,45,G-META-12-18,MCQS,54,"At equilibrium spacing in a crystalline solid, which of the following is true for net inter-atomic force (F) and potential energy (U)  (A) F is zero and U is zero (B) F is zero and U is minimum (C) F is minimum and U is zero (D) F is minimum and U is minimum",(B) F is zero and U is minimum,,,0,
Thermodynamics,46,G-META-12-19,MCQS,26,The property of a material that CANNOT be significantly changed by heat treatment is  (A) Yield strength (B) Ultimate tensile strength (C) Ductility (D) Elastic modulus,(A) Yield strength,,,0,
Thermodynamics,47,G-META-12-33,MCQS-NUM,42,"Consider a reaction with activation energy of 8.314 kJ/mol that takes place at 300 K. If the reaction rate is to be tripled, the temperature of the reaction should be  (A) 174.5 K (B) 447.5 K (C) 600.5 K (D) 847.5 K",(B) 447.5 K,,,0,
Thermodynamics,48,G-META-12-35,MCQS-NUM,47,The reduction of FeO with CO gas in co-current flow is given by the following equation: FeO + CO = Fe + $CO_2$ ∆G°= 8120 J at 1173K. The ratio of $p_(CO)/p_(CO_2)$ for this reaction at 1173 K is  (A) 0.0 (B) 0.25 (C) 0.44 (D) 2.3,(C) 0.44,,,0,
Thermodynamics,49,G-META-13-3,MCQS,52,"In a binary system A-B, $ε_(AA)$, $ε_(BB)$ and $ε_(AB)$ correspond to A-A, B-B and A-B bond energies respectively. The miscibility gap will occur if  (A) $ε_(AB)$ > ½ ($ε_(AA)$ + $ε_(BB)$) (B) $ε_(AB)$ < ½ ($ε_(AA)$ + $ε_(BB)$) (C) $ε_(AB)$ = ½ ($ε_(AA)$ + $ε_(BB)$) (D) $ε_(AB)$ < ¼ ($ε_(AA)$ + $ε_(BB)$) ",(A) $ε_(AB)$ > ½ ($ε_(AA)$ + $ε_(BB)$),,,0,
Thermodynamics,50,G-META-13-12,MCQS,22,Isothermal compressibility of a material is given by  (A) -1/p* (∂V/∂p)$_T$ (B) 1/p* (∂V/∂p)$_T$ (C) -1/V * (∂V/∂p)$_T$ (D) 1/V * (∂V/∂p)$_T$,(A) -1/p* (∂V/∂p)$_T$,,,0,
Thermodynamics,51,G-META-13-23,NUM,9,The total number of possible heat transfer mode(s) is?,1. 3,,,0,
Thermodynamics,52,G-META-13-50,MCQS-NUM,54,"Integral enthalpy of mixing (in J/mol) of liquid (Cu, Zn) solution can be approximated by mix $ΔH^(mix)$ = -19250 * $χ_(Cu)$ * $χ_(Zn)$. The corresponding partial molar enthalpy of mixing (in J/mol) for Cu is  (A) 19250 * $(χ_(Zn))^2 (B) -19250 * $(χ_(Cu))^2 (C) 38500*$χ_(Zn)$ -19250 * $(χ_(Zn))^2 - 19250 (D) -19250 * $(χ_(Zn))^2 ",(C) 38500*$χ_(Zn)$ -19250 * $(χ_(Zn))^2 - 19250,,,0,
Thermodynamics,53,G-META-13-51,MCQS-NUM,41,"Integral enthalpy of mixing (in J/mol) of liquid (Cu, Zn) solution can be approximated by mix $ΔH^(mix)$ = -19250 * $χ_(Cu)$ * $χ_(Zn)$. Assuming regular solution behaviour, the solution parameter (in J/mol) is  (A) -19250 (B) -9625 (C) 13.75 (D) 2315.4 ",(A) -19250,,,0,
Thermodynamics,54,G-META-14-8,MCQS,79,The Pilling-Bedworth ratio is defined as  (A) the molar weight of an oxide divided by the molar weight of the metal consumed in oxide formation. (B) the volume of the oxide divided by the volume of the metal consumed in oxide formation. (C) the density of the oxide divided by the density of the metal consumed in oxide formation. (D) the molar Gibbs energy of the oxide divided by the Gibbs energy of the metal consumed in oxide formation. ,"
(B) the volume of the oxide divided by the volume of the metal consumed in oxide formation.",,,0,
Thermodynamics,55,G-META-14-29,NUM,44,The activity coefficient of Q in a liquid Q-R alloy is represented by the following equation at a given temperature. ln $𝛾_𝑄$ = $0.6*(𝑥_R)^2$ - 0.2*$(𝑥_R)^3$. What is the activity of Q in an alloy of composition 𝑥_𝑅 = 0.6 at the same temperature?,0.8,,,0,
Thermodynamics,56,G-META-14-33,NUM,36,What is the theoretical requirement of air (in $m^ 3$ at STP) for the complete combustion of 100 $m^3$ (at STP) of a fuel consisting of pure $CH_4$? Assume that air contains 21 vol.% of oxygen.,"The theoretical requirement of air for the complete combustion of 100 $m^3$ of pure $CH_4$ is 200 $m^3$ at STP. 

[200 $m^3$]",,,0,
Thermodynamics,57,G-META-15-5,MCQS,57,"In an Ellingham diagram, the standard free energy change ∆𝐺° for the oxidation reaction of a metal M given by: 𝑥𝑀(𝑠𝑠) + $𝑂_2$(𝑔) → $𝑀_(𝑥)𝑂_2$(𝑠) , is plotted as a function of temperature. The slope of this line is positive because  (A) ∆S° is positive (B) ∆S° is negative (C) ∆H° is positive (D) ∆H° is negative",(A) ∆S° is positive,,,0,
Thermodynamics,58,G-META-15-16,MCQS,25,"When boron (trivalent) is doped to silicon, the resulting material is  (A) a p-type semiconductor. (B) an n-type semiconductor. (C) a superconductor. (D) an insulator",(A) a p-type semiconductor.,,,0,
Thermodynamics,59,G-META-15-31,MCQS,58,"C (s) + $CO_2$ (g) ⇋ 2CO (g) is an important reaction in iron making. Given $∆𝐻°_(298)$ = 172000 joules per mole of $CO_2$, which of the following conditions will favour the forward reaction?  (A) Increasing both temperature and pressure. (B) Decreasing temperature and increasing pressure. (C) Decreasing both temperature and pressure. (D) Increasing temperature and decreasing pressure.",(A) Increasing both temperature and pressure.,,,0,
