topic;level_1;qids;qstr;num_words;questions;result;filtered_result;correct_result;overlap;error_type
Material manufacturing;11;G-META-12-10;MCQS;22;Floatation beneficiation is based on the principle of  (A) Mineral surface hydrophobicity (B) Gravity difference (C) Chemical reactivity (D) Particle size difference;"Based on the context, I can provide an answer to the question.

Floatation beneficiation is a process used to separate minerals based on their hydrophobicity (water-repelling properties). The principle behind floatation is that hydrophobic particles (such as minerals like copper, lead, and zinc) will stick to air bubbles and float to the surface, while hydrophilic particles (such as minerals like quartz and feldspar) will remain submerged.

Therefore, the correct answer is:

(A) Mineral surface hydrophobicity";;A;1;
Material Applications;24;G-META-12-11;MCQS;18;Copper can be reduced from acidic copper sulphate solution by  (A) Silver (B) Iron (C) Carbon (D) Lead;"Based on the context provided, I'll answer the question.

Copper can be reduced from acidic copper sulphate solution by:

The correct answer is:

* (C) Carbon

Explanation: Copper can be reduced from acidic copper sulphate solution using carbon, also known as electrolytic reduction. This process involves passing an electric current through the solution, causing the copper ions to be reduced to copper metal.";;B;0;
Material manufacturing;12;G-META-12-12;MCQS;15;Which one is NOT an agglomeration process?  (A) Nodulizing (B) Briquetting (C) Roasting (D) Pelletizing;"Based on the context provided, I will analyze the options to determine which one is NOT an agglomeration process.

Agglomeration is the process of converting fine powders or particles into a more convenient form, such as pellets or briquettes, by bonding them together.

Here's how each option relates to agglomeration:

A. Nodulizing: This is an agglomeration process, as it involves converting fine particles into nodules, which are larger, more manageable particles.

B. Briquetting: This is also an agglomeration process, as it involves bonding fine powders or particles together to form larger briquettes.

C. Roasting: Roasting is a thermal process used to improve the quality or appearance of coffee beans or other food products. It is not an agglomeration process, as it does not involve bonding particles together.

D. Pelletizing: This is an agglomeration process, as it involves converting fine powders or particles into pellets.

Correct answer:
C. Roasting";;C;1;
Material manufacturing;13;G-META-12-13;MCQS;20;During LD blow in steelmaking the impurity that gets removed first is  (A) Carbon (B) Phosphorous (C) Manganese (D) Silicon;"Based on the context, I found some information that might be helpful in answering this question. LD (Ladle Furnace) blow is a process in steelmaking where air is blown into the ladle to remove impurities from the steel. The impurities that are typically removed during this process include:

* Carbon dioxide (CO2)
* Hydrogen (H2)
* Hydrogen sulfide (H2S)
* Manganese (Mn)
* Carbon (C)

Phosphorus (P), on the other hand, is not typically removed during the LD blow process as it is a refractory element and can form a solid solution with silicon and manganese in the steel.

Silicon (Si) is also not typically removed during the LD blow process as it is a common impurity in steel and is not easily removed through oxidation.

Therefore, the correct answer is:

(B) Phosphorous";;D;0;
Thermodynamics;44;G-META-12-14;MCQS;44;During the solidification of a pure metal, it was found that dendrites are formed. Assuming that the liquid-solid interface is at the melting temperature, the temperature from the interface into the liquid  (A) Decreases (B) Increases (C) Remains constant (D) Increases and then decreases;"Based on the context, I'll provide an answer.

During the solidification of a pure metal, the temperature of the liquid metal near the solid-liquid interface is at the melting point (Tm). As you move away from the interface into the liquid, the temperature will decrease due to the heat of fusion being released as the metal solidifies.

So, the correct answer is:

(A) Decreases";;A;1;
Atomic structure;44;G-META-12-15;MCQS-NUM;51;A peak in the X-ray diffraction pattern is observed at 2θ = 78°, corresponding to {311} planes of an fcc metal, when the incident beam has a wavelength of 0.154 nm. The lattice parameter of the metal is approximately  (A) 0.6 nm (B) 0.4 nm (C) 0.3 nm (D) 0.2 nm;"To solve this problem, we can use the Bragg equation, which relates the wavelength of the incident beam, the angle of diffraction, and the spacing of the lattice planes.

The Bragg equation is:

nλ = 2dsin(θ)

where n is an integer, λ is the wavelength of the incident beam, d is the spacing of the lattice planes, and θ is the angle of diffraction.

We are given that the peak in the X-ray diffraction pattern is observed at 2θ = 78°, which means that the angle of diffraction is θ = 39°. We are also given that the wavelength of the incident beam is λ = 0.154 nm.

The spacing of the lattice planes, d, is given by the lattice parameter, a, and the Miller indices, h, k, and l. For an fcc metal, the lattice parameter is related to the spacing of the {311} planes by:

d = a/√(h² + k² + l²)

Substituting the values given in the problem, we get:

d = a/√(3² + 1² + 1²) = a/√(9 + 1 + 1) = a/√11

We can now use the Bragg equation to solve for the lattice parameter, a. Rearranging the equation to solve for a, we get:

a = nλ/(2dsin(θ))

Substituting the values given in the problem, we get:

a = (1)(0.154 nm)/(2d sin(39°))

To solve for a, we need to find the value of d. We can do this by using the fact that the spacing of the {311} planes is given by:

d = a/√(3² + 1² + 1²) = a/√11

Substituting this expression for d into the equation for a, we get:

a = (1)(0.154 nm)/(2(a/√11) sin(39°))

Simplifying this equation, we get:

a = (0.154 nm)/(2 sin(39°)/√11) ≈ 0.286 nm

Therefore, the correct answer is:

(C) 0.3 nm";;B;0;
Atomic structure;45;G-META-12-16;MCQS;34;If d is the inter-planar spacing of the planes {h k l}, the inter-planar spacing of the planes {nh nk nl}, n being an integer, is  (A) d (B) d/n (C) nd (D) d/$n^2$;"Since the planes {h k l} and {nh nk nl} are parallel, their inter-planar spacing is the same. The only difference is the number of lattice planes that are stacked together.

The inter-planar spacing d is the distance between two consecutive lattice planes. If we stack n lattice planes together, the distance between the first and nth plane is still d, because the planes are parallel.

Therefore, the inter-planar spacing of the planes {nh nk nl} is also d.

Correct answer:

* (A) d";;B;0;
Electrical;14;G-META-12-17;MCQS;41;As temperature increases, the electrical resistivities of pure metals ($ρ_m$) and intrinsic semiconductors ($ρ_s$) vary as follows  (A) Both $ρ_m$ and $ρ_s$ increase (B) Both $ρ_m$ and $ρ_s$ decrease (C) $ρ_m$ increases and $ρ_s$ decreases (D) $ρ_m$ decreases and $ρ_s$ increases ;"Based on the context, we can analyze the behavior of electrical resistivity in pure metals and intrinsic semiconductors as a function of temperature.

In pure metals, the electrical resistivity (ρm) typically decreases with increasing temperature due to the increased mobility of electrons. This is because the thermal energy increases the kinetic energy of the electrons, allowing them to move more freely and reducing the scattering of electrons by lattice vibrations (phonons).

In intrinsic semiconductors, the electrical resistivity (ρs) typically increases with increasing temperature due to the increased thermal energy, which excites more charge carriers (electrons and holes) into the conduction band. This increases the number of charge carriers that can contribute to the electrical current, leading to an increase in the electrical resistivity.

Therefore, the correct answer is:

(C) ρm increases and ρs decreases";;C;1;
Thermodynamics;45;G-META-12-18;MCQS;54;At equilibrium spacing in a crystalline solid, which of the following is true for net inter-atomic force (F) and potential energy (U)  (A) F is zero and U is zero (B) F is zero and U is minimum (C) F is minimum and U is zero (D) F is minimum and U is minimum;"Based on the context, I'll provide an answer.

At equilibrium spacing in a crystalline solid, the net inter-atomic force (F) is zero. This is because the attractive forces between atoms are balanced by the repulsive forces, resulting in a net force of zero.

As for the potential energy (U), it is minimum. This is because the equilibrium spacing is the point where the potential energy is at its minimum value. At this point, the atoms are arranged in a way that minimizes the potential energy, which is a result of the balance between the attractive and repulsive forces.

Therefore, the correct answer is:

(D) F is minimum and U is minimum";;B;0;
Thermodynamics;46;G-META-12-19;MCQS;26;The property of a material that CANNOT be significantly changed by heat treatment is  (A) Yield strength (B) Ultimate tensile strength (C) Ductility (D) Elastic modulus;"Based on the context and the options provided, I'm going to answer the question as follows:

The property of a material that CANNOT be significantly changed by heat treatment is (D) Elastic modulus.

Here's my reasoning:

* Yield strength (A) can be significantly changed by heat treatment. Heat treatment can alter the microstructure of the material, which can affect its yield strength.
* Ultimate tensile strength (B) can also be affected by heat treatment. For example, increasing the temperature can cause some materials to exhibit a higher ultimate tensile strength.
* Ductility (C) is related to the amount of plastic deformation a material can undergo before breaking. While heat treatment can affect the ductility of some materials, it's not always a guarantee that ductility cannot be changed.
* Elastic modulus (D) is the ratio of stress to strain in the elastic region of a material. It is a fundamental property of a material that is determined by its internal structure and chemistry. Elastic modulus is not significantly affected by heat treatment, which is why it is the correct answer.

Here is the correct list:

• The property of a material that CANNOT be significantly changed by heat treatment is:
• (D) Elastic modulus";;D;1;
Atomic structure;46;G-META-12-20;MCQS;63;A unit dislocation splits into two partial dislocations. The correct combination of the Burgers vectors of the partial dislocations for a given unit dislocation having Burgers vector (a/2)[1 -1 0] is  (A) (a/6)[2 -1 1] and (a/6)[1 -2 -1] (B) (a/6)[1 -1 2] and (a/6)[-1 -2 1] (C) (a/6)[1 1 -2] and (a/6)[2 -1 -1] (D) (a/6)[2 1 1] and (a/6)[1 2 -1];"A question about dislocations in materials science!

A unit dislocation splits into two partial dislocations, and we need to find the correct combination of their Burgers vectors.

The given unit dislocation has a Burgers vector of (a/2)[1 -1 0]. This means that if we move a distance of a/2 along the [1 -1 0] direction, we will close the dislocation.

When a unit dislocation splits into two partial dislocations, the sum of their Burgers vectors must equal the original Burgers vector. This is known as the ""conservation of Burgers vector"".

Let's denote the Burgers vectors of the two partial dislocations as b1 and b2. We can write:

b1 + b2 = (a/2)[1 -1 0]

We are looking for the correct combination of b1 and b2, which are given as:

(A) (a/6)[2 -1 1] and (a/6)[1 -2 -1]
(B) (a/6)[1 -1 2] and (a/6)[-1 -2 1]
(C) (a/6)[1 1 -2] and (a/6)[2 -1 -1]
(D) (a/6)[2 1 1] and (a/6)[1 2 -1]

Let's check each option:

(A) (a/6)[2 -1 1] + (a/6)[1 -2 -1] = (a/2)[1 -1 0] ( Correct!)

(B) (a/6)[1 -1 2] + (a/6)[-1 -2 1] ≠ (a/2)[1 -1 0]

(C) (a/6)[1 1 -2] + (a/6)[2 -1 -1] ≠ (a/2)[1 -1 0]

(D) (a/6)[2 1 1] + (a/6)[1 2 -1] ≠ (a/2)[1 -1 0]

Therefore, the correct answer is:

(A) (a/6)[2 -1 1] and (a/6)[1 -2 -1]";;A;1;
