topic,level_1,qids,qstr,num_words,questions,result,filtered_result,correct_result,overlap,error_type
Thermodynamics,0,G-XEC-2012-3,MCQS,23,Which of the following techniques is NOT used to grow single crystals of semiconductors?  (A) Calendering (B) Czochralski (C) Float zone (D) Bridgman,A. Calendering,,,0,
Thermodynamics,1,G-XEC-2012-4,MCQS,28,Which of the following signals is produced due to the elastic scattering of electrons by a material?  (A) Secondary electron (B) Backscattered electron (C) Auger electron (D) Photoelectron,"Elastic scattering refers to the interaction between electrons and the nucleus and surrounding electrons of an atom, leading to a change in the incident electron direction without loss of energy. This process contributes to the formation of diffraction patterns and diffraction contrast images in Transmission Electron Microscopy (TEM). Therefore, the answer is (B) Backscattered electron, as they can be elastically scattered and retain their initial energy. However, it's important to note that elastically scattered electrons can also be transmitted through a thin sample or used to form secondary images in Scanning Electron Microscopy (SEM).",,,0,
Thermodynamics,2,G-XEC-2012-6,MCQS,49,"Of the following materials, which is the most suitable for an LED emitting at around 380 nm?  (A) Direct bandgap material with a small bandgap (B) Indirect bandgap material with a large bandgap (C) Direct bandgap material with a large bandgap (D) Indirect bandgap material with a small bandgap "," A. Direct bandgap material with a small bandgap.

Explanation:
The context states that indirect-gap semiconductors, such as Si and Ge, are not suitable for LEDs due to the conservation of momentum strongly suppressing electro-luminescence and nonradiative electron-hole recombination processes reducing efficiency. Direct-gap semiconductors, on the other hand, have radiative transitions that dominate, making them ideal for LEDs. The passage also mentions GaN and its alloys, such as InGaN, as suitable materials for LEDs emitting in the visible and UV range. Since the question asks for a material emitting around 380 nm, which is in the UV range, and the context mentions GaN and InGaN as suitable materials for UV LEDs, the answer is A, a direct bandgap material with a small bandgap, such as GaN or InGaN.",,,0,
Thermodynamics,3,G-XEC-2012-7,MCQS,19,Which material has the lowest specific heat capacity at room temperature?  (A) Water (B) Mercury (C) Copper (D) Silver,"The material with the lowest specific heat capacity at room temperature is (C) Copper. The specific heat capacity of copper is approximately 8.16 J/kg K.

Explanation:
The context provided does not directly answer the question, but it does mention the specific heat capacities of several materials, including copper, silver, and mercury. Based on the information given, copper has the lowest specific heat capacity at room temperature.

Therefore, the answer is:
[C] Copper

References:
The context provided includes several references, but none of them directly address the question about the material with the lowest specific heat capacity at room temperature. However, the information given in the context can be used to confirm that copper has the lowest specific heat capacity among the materials listed.",,,0,
Thermodynamics,4,G-XEC-2013-15,NUM,29,"The band gap of a semiconducting material used to make an LED is 1.43 eV. What will be the minimum wavelength ofthe radiation emitted by this LED, in μm?"," The minimum wavelength of radiation emitted by an LED can be calculated using the bandgap energy in eV and the conversion factor from eV to μm. The conversion factor is approximately 1.12 eV = 1 μm.

Therefore, the minimum wavelength of radiation emitted by an LED with a bandgap energy of 1.43 eV is:

1.43 eV * (1 μm / 1.12 eV) = 1.28 μm

So the answer is [1.28].",,,0,
Thermodynamics,5,G-XEC-2014-3,MCQS,25,"At room temperature, the typical barrier potential for silicon p-n junction in Volt (V) is  (A) 0.7 * $10^(-23)$ (B) 0.07 (C) 0.70 (D) 7.0"," [C, 0.70]

Explanation: The context provides the typical barrier potential for a silicon p-n junction at room temperature as 1.12 V. However, the question asks for the answer in Volts, so we need to provide the answer in Volts as well. Therefore, the correct answer is 1.12 V = 1.12 * $10^(-3)$ V = 0.70 V.

Note: The other options are not correct as they do not match the given value in the context. Option A is in units of Joules, not Volts, and options B and D are not provided in the context.",,,0,
Thermodynamics,6,G-XEC-2014-6,MCQS,44,"At low injection level, a forward biased p-n junction would have  (A) no charge carriers (B) minority carrier concentration much more than majority carrier concentration (C) minority carrier concentration equal to majority carrier concentration (D) minority carrier concentration much less than majority carrier concentration","[B] minority carrier concentration much more than majority carrier concentration.

Explanation: At low injection levels in a forward biased p-n junction, there is an injection of minority carriers (holes in the n-region and electrons in the p-region) into the opposite side where they become minority carriers. The holes injected into the n-region have a concentration δpin excess of the equilibrium value pn0 that decays exponentially with x. Since the diffusion length Lp of holes is much larger than the thickness of the space charge layer, the variation of the hole concentration pn on the n-side of the junction has a shape similar to that obtained in Sect. 5.4.4, which shows an increase in the concentration of minority carriers compared to the majority carriers. Therefore, the answer is [B].",,,0,
Thermodynamics,7,G-XEC-2014-12,NUM,50,"A copper cup weighing 140 g contains 80 g of water at 4 °C. Specific heats of water and copper are 4.18 and 0.385 J/g °C, respectively. If 100 g of water that is at 90 °C is added to the cup, the final temperature of water in °C is","To find the final temperature of water after adding 100 g of water at 90 °C to the copper cup containing 80 g of water at 4 °C, we can use the principle of conservation of energy.

First, let's calculate the initial energy of the system:

Ei = Mcp1T1 + Mcp2T2

where Mc is the mass, cp is the specific heat capacity, and T is the temperature for each component.

For water:
Mw = 80 g
Cg
cpw = 4.18 J/g °C
T1 = 4 °C

Ei1 = McpwT1 = 80g × 4.18J/g °C × 4 °C = 133.28 J

For copper:
Mc = 140g
cpC = 0.385 J/g °C
T1C = 4 °C

Ei2 = McpC1T1C = 140g × 0.385 J/g °C × 4 °C = 11.13 J

Total initial energy:
Ei = Ei1 + Ei2 = 133.28 J + 11.13 J = 144.41 J

Next, let's calculate the energy added by the 100 g of water at 90 °C:

Mh = 100 g
cpH = 4.18 J/g °C
T2 = 90 °C

Eh = McpHcpT2 = 100g × 4.18J/g °C × 90 °C = 39,824 J

Since no heat is lost to the surroundings, the final energy of the system must be equal to the initial energy plus the energy added:

Ef = Ei + Eh

To find the final temperature, we can use the principle of conservation of energy again:

MfTf = MiTi + MhTh

where Mi and Mf are the masses of the components, Ti and Tf are the temperatures, and Th is the heat capacity of the hot water.

For water:
Mf = 180 g (80 g initial + 100 g added)
Tf is the final temperature
Th = cpH = 4.18 J/g °C

We can set up the equation:

180gTf = 80g×4 °C + 100g×90 °C

Solving for Tf:

Tf = (80g×4 °C + 100g×90 °C) / 180g

Tf = (320 °C-pure water) / 3

Tf ≈ 106.7 °C

Therefore, the final temperature of water in the copper cup is approximately 106.7 °C.

Answer: [106.7 °C]",,,0,
Thermodynamics,8,G-XEC-2014-17,MCQS-NUM,44,"The energy in eV and the wavelength in μm, respectively, of the photon emitted when an electron in a hydrogen atom falls from n = 4 to n = 2 state is  (A) 3.0, 0.413 (B) 2.55, 0.365 (C) 2.75, 0.451 (D) 2.55, 0.487","To find the energy and wavelength of the photon emitted when an electron in a hydrogen atom falls from n = 4 to n = 2 state, we can use the Rydberg equation. The Rydberg equation relates the energy levels of hydrogen atom to the principal quantum number (n).

First, let's find the energy difference between the two states:

Energy difference = Energy of the final state (n = 2) - Energy of the initial state (n = 4)

Using the Rydberg equation, we have:


Energy of nth state = -R/n^2, where R is the Rydberg constant

So,

Energy difference = -R/2^2 + R/4^2 = R/16

Now, we can find the energy of the photon emitted by using the energy difference and the Planck's equation:

E = hc/λ

We need to find the wavelength (λ) first. Using the Rydberg equation, we have:

λ = hc/R * (1/n1^2 - 1/n2^2)

Substituting n1 = 4 and n2 = 2, we get:

λ = hc/R * (1/16)

Now, we can find the energy (E) using the energy difference and the Planck's equation:

E = hc/λ = hc * R/(hc*16) = R/16

To convert the energy from eV to J mol-1, we can use the conversion factor:

1 eV = 1.602 x 10^-19 J

So,

E = R/16 * (1.602 x 10^-19 J/eV) = 1.511 x 10^-18 J

To convert J to J mol-1, we can use the Avogadro constant (N_A):

1 J = 1 J mol-1/N_A

So,

E = 1.511 x 10^-18 J / (6.022 x 10^23 mol-1) = 2.55 x 10^-6 J mol-1

Now, we can find the wavelength (λ) using the Rydberg equation:

λ = hc/R * (1/n1^2 - 1/n2^2) = hc/R * (1/16)

Substituting h = 6.626 x 10^-34 J s and c = 299792458 m/s, we get:

λ = (6.626 x 10^-34 J s * 299792458 m/s) / (1.096776 x 10^-31 m^3 kg/s^2) = 0.365 x 10^-6 m = 365 nm

To convert nm to μm, we can use the conversion factor:

1 nm = 10^-9 m = 10^-6 μm

So,

λ = 365 nm * 10^-6 μm/nm = 3.65 x 10^-6 μm = 3.65 μm

Therefore, the energy is 2.55 x 10^-6 J mol-1, and the wavelength is 3.65 μm.

So, the answer is (B) 2.55, 0.365.",,,0,
Thermodynamics,9,G-XEC-2015-44-1,MCQS,50,Arrange the following elements in order of increasing melting point: (P) gallium (Q) tungsten (R) aluminium (S) gold  Options: (A) P < R< Q < S (B) S < P < R < Q (C) P < R < S < Q (D) R < S < Q < P,"The correct answer is (B) S < P < R < Q.

Explanation:
From the context provided, we have the melting points of Gallium (Ga), Tungsten (W), Aluminium (Al), and Gold (Au). The melting points are as follows:

Ga: 29.75°C (85.4°F)
Al: 660.5°C (1221.1°F)
Au: 1063°C (1945.4°F)
W: 3000°C (5392°F)

So, the elements in order of increasing melting point are: S (Gallium) < P (Aluminium) < R (Gold) < Q (Tungsten).

Therefore, the answer is (B) S < P < R < Q.",,,0,
