topic,level_1,qids,qstr,num_words,questions,result,filtered_result,correct_result,overlap,error_type
Thermodynamics,0,G-XEC-2012-3,MCQS,23,Which of the following techniques is NOT used to grow single crystals of semiconductors?  (A) Calendering (B) Czochralski (C) Float zone (D) Bridgman,"A) Calendering

Explanation: Calendering is a process used to roll or press materials to achieve a desired thickness or shape, but it is not used to grow single crystals of semiconductors. The other mentioned techniques, Czochralski, float zone, and Bridgman, are all used for growing single crystals of semiconductors.",,,0,
Thermodynamics,1,G-XEC-2012-4,MCQS,28,Which of the following signals is produced due to the elastic scattering of electrons by a material?  (A) Secondary electron (B) Backscattered electron (C) Auger electron (D) Photoelectron," Elastic scattering of electrons by a material results in the production of electrons that retain their initial energy and direction. Therefore, the signal produced due to elastic scattering is typically the same as the incident electron beam. However, in the context of electron microscopy, the term ""elastically scattered electrons"" often refers to electrons that are scattered without losing energy and contribute to the formation of diffraction patterns and diffraction contrast images in TEM. These electrons are usually detected as the transmitted or diffracted beam. Therefore, the answer to the question is (B) Backscattered electron or (C) Transmitted electron, depending on the experimental setup. However, it is important to note that the term ""elastic scattering"" can also refer to the scattering of other particles, such as neutrons or photons, and the produced signal may vary accordingly.",,,0,
Thermodynamics,2,G-XEC-2012-6,MCQS,49,"Of the following materials, which is the most suitable for an LED emitting at around 380 nm?  (A) Direct bandgap material with a small bandgap (B) Indirect bandgap material with a large bandgap (C) Direct bandgap material with a large bandgap (D) Indirect bandgap material with a small bandgap ","The most suitable material for an LED emitting at around 380 nm is (A) Direct bandgap material with a small bandgap. This is because the transition probability for emission requires conservation of wavevector, and the photon wavevector is approximately zero on the scale of the Brillouin zone. In indirect-gap materials, creation or destruction of a phonon is required for band-to-band luminescence, which is less probable. The near-edge emission may correspond to luminescence from a variety of shallow energy-level structures, but it is also possible to observe deep-level luminescence from transition-metal ions and rare earths in semiconductors, provided that the electron affinities and bandgap energies are such that the pertinent energy levels fall in the band gap. However, for the specific wavelength of 380 nm, a direct bandgap material with a small bandgap is the most suitable choice.",,,0,
Thermodynamics,3,G-XEC-2012-7,MCQS,19,Which material has the lowest specific heat capacity at room temperature?  (A) Water (B) Mercury (C) Copper (D) Silver,The material with the lowest specific heat capacity at room temperature is silver. Its specific heat capacity is 0.389 J/g K.,,,0,
Thermodynamics,4,G-XEC-2013-15,NUM,29,"The band gap of a semiconducting material used to make an LED is 1.43 eV. What will be the minimum wavelength ofthe radiation emitted by this LED, in μm?"," The minimum wavelength of radiation emitted by an LED can be calculated using the equation: l = hc/E, where h is Planck's constant, c is the speed of light, and E is the energy gap of the semiconducting material.

Substituting the given value of E = 1.43 eV, we have:

l = hc/E = (6.626 x 10^-34 J s) x (3 x 10^8 m/s) / (1.43 x 1.6 x 10^-19 J) = 0.86 μm

Therefore, the minimum wavelength of radiation emitted by the LED is approximately 0.86 μm.",,,0,
Thermodynamics,5,G-XEC-2014-3,MCQS,25,"At room temperature, the typical barrier potential for silicon p-n junction in Volt (V) is  (A) 0.7 * $10^(-23)$ (B) 0.07 (C) 0.70 (D) 7.0","[C, 0.70]

Explanation: The typical barrier potential for a silicon p-n junction at room temperature is approximately 0.7 Volts.",,,0,
Thermodynamics,6,G-XEC-2014-6,MCQS,44,"At low injection level, a forward biased p-n junction would have  (A) no charge carriers (B) minority carrier concentration much more than majority carrier concentration (C) minority carrier concentration equal to majority carrier concentration (D) minority carrier concentration much less than majority carrier concentration"," [B] minority carrier concentration much more than majority carrier concentration.

Explanation: At low injection level, the forward biasing of a p-n junction causes the depletion region to shrink, reducing the barrier height and allowing more minority carriers (holes in the n-type region and electrons in the p-type region) to be injected into the junction. These injected minority carriers diffuse into the bulk of the semiconductor and recombine with majority carriers, leading to an excess of minority carriers in the vicinity of the junction. Therefore, the minority carrier concentration is much greater than the majority carrier concentration at low injection levels.",,,0,
Thermodynamics,7,G-XEC-2014-12,NUM,50,"A copper cup weighing 140 g contains 80 g of water at 4 °C. Specific heats of water and copper are 4.18 and 0.385 J/g °C, respectively. If 100 g of water that is at 90 °C is added to the cup, the final temperature of water in °C is","To find the final temperature of the water in °C, we can use the principle of conservation of energy. The heat gained by the water is equal to the heat lost by the copper.

First, let's calculate the heat gained by the water:

m_water_initial = 80 g
m_water_final = m_initial + m_added = 80 g + 100 g = 180 g
c_water = 4.18 J/g °C
ΔT_water = final temperature - initial temperature
ΔH_water = m_water * c_water * ΔT_water

ΔH_water = 180 g * 4.18 J/g °C * (final temperature - 4 °C)

Next, let's calculate the heat lost by the copper:

m_copper = 140 g
c_copper = 0.385 J/g °C
ΔT_copper = final temperature - initial temperature
ΔH_copper = m_copper * c_copper * ΔT_copper

Since the copper and water are in thermal contact, their temperatures will eventually reach the same value. Therefore, ΔT_copper = ΔT_water.

Now, we can set the heat gained by the water equal to the heat lost by the copper:

ΔH_water = ΔH_copper

Solving for the final temperature:

ΔH_water = 180 g * 4.18 J/g °C * (final temperature - 4 °C)
ΔH_copper = 140 g * 0.385 J/g °C * (final temperature - 4 °C)

Setting them equal:

180 g * 4.18 J/g °C * (final temperature - 4 °C) = 140 g * 0.385 J/g °C * (final temperature - 4 °C)

Dividing both sides by the product of the masses and specific heats:

(final temperature - 4 °C) = (180 g * 4.18 J/g °C) / (180 g + 140 g) * (0.385 J/g °C)

(final temperature - 4 °C) = 4.18 J/g °C / 3.285 J/g °C * 0.385 J/g °C * (180 g + 140 g)

(final temperature - 4 °C) = 0.414 J/g °C * 328.5 g

(final temperature - 4 °C) = 134.53 J

Adding 4 °C to both sides:

final temperature = 138.53 °C

So, the final temperature of the water in the copper cup is 138.53 °C.",,,0,
Thermodynamics,8,G-XEC-2014-17,MCQS-NUM,44,"The energy in eV and the wavelength in μm, respectively, of the photon emitted when an electron in a hydrogen atom falls from n = 4 to n = 2 state is  (A) 3.0, 0.413 (B) 2.55, 0.365 (C) 2.75, 0.451 (D) 2.55, 0.487","The energy difference between the n = 4 and n = 2 states of a hydrogen atom is given by the Rydberg equation:

ΔE = Rydberg constant × Rydberg factor

The Rydberg constant is 1.096776 × 10^7 m^-1, and the Rydberg factor for the transition n = 4 to n = 2 is:

Rydberg factor = (1/4^2 - 1/n1^2) - (1/4^2 - 1/n2^2)

Substituting the values, we get:

Rydberg factor = (1/16 - 1/16) - (1/16 - 1/4) = 1/4

So, the energy difference is:

ΔE = Rydberg constant × Rydberg factor = 1.096776 × 10^7 m^-1 × 1/4 = 2.794 × 10^-18 J

To convert this energy to eV, we divide by the Avogadro constant and the electronic charge:

ΔE = 2.794 × 10^-18 J / (6.022 × 10^23 electrons/mol × 1.602 × 10^-19 C) = 2.55 × 10^-6 eV = 2.55 eV

The wavelength of the photon emitted in this transition can be calculated using the Planck-Einstein relation:

λ = hc/ΔE

where h is the Planck constant (6.626 × 10^-34 J s), c is the speed of light (3 × 10^8 m/s), and ΔE is the energy difference.

Substituting the values, we get:

λ = (6.626 × 10^-34 J s) × (3 × 10^8 m/s) / (2.55 × 10^-6 eV) = 0.365 × 10^-6 m = 0.365 μm

So, the answer is (B) 2.55, 0.365.",,,0,
Thermodynamics,9,G-XEC-2015-44-1,MCQS,50,Arrange the following elements in order of increasing melting point: (P) gallium (Q) tungsten (R) aluminium (S) gold  Options: (A) P < R< Q < S (B) S < P < R < Q (C) P < R < S < Q (D) R < S < Q < P,"The correct answer is (B) S < P < R < Q. The melting points of the given elements in order from lowest to highest are: gallium (29.8 °C), aluminium (660.6 °C), gold (1064.4 °C), and tungsten (3410 °C). Therefore, the correct answer is (B) since gallium has the lowest melting point and tungsten has the highest.",,,0,
